witness_id,claim_id,witness_first_name,witness_middle_name,witness_last_name,witness_full_name,witness_mobile,witness_email,witness_gender,witness_dob,witness_gov_id,member_id
WIT-10018,CLM-02621,Tanvi,,Divan,Tanvi Divan,99126823144,tanvi10@outlook.co.in,F,1955-04-08,AADHAR-3306-7324-6934,
WIT-10019,CLM-00276,Nicholas,,Gulati,Nicholas Gulati,99484750600,nicholas91@rediffmail.com,M,1966-07-28,VOTER-D690633,MEM-11573
WIT-10020,CLM-00276,Aahana,,Kara,Aahana Kara,98338366049,aahana91@hotmail.com,F,1955-06-04,AADHAR-4506-1370-7529,
WIT-10021,CLM-02178,Janya,,Rajan,Janya Rajan,98688146042,janya86@rediffmail.com,F,1988-06-26,VOTER-B584886,MEM-12868
WIT-10022,CLM-02178,Aryan,,Vohra,Aryan Vohra,98444134889,aryan70@hotmail.com,M,1981-07-17,AADHAR-1661-3732-9059,
WIT-10023,CLM-00482,Tamanna,,Sani,Tamanna Sani,97780736252,tamanna66@outlook.co.in,F,2002-11-10,UID-788043406804,
WIT-10024,CLM-02276,Falan,,Saha,Falan Saha,98485949568,falan52@rediffmail.com,M,1981-02-09,UID-606042108871,MEM-12971
WIT-10025,CLM-02276,Yagnesh,,Sami,Yagnesh Sami,97984064453,yagnesh61@hotmail.com,M,1987-03-03,VOTER-A567427,
WIT-10026,CLM-02346,Gaurangi,,Bandi,Gaurangi Bandi,98267931112,gaurangi81@hotmail.com,F,2003-12-07,VOTER-C877962,MEM-12369
WIT-10027,CLM-00637,Chandani,,Sethi,Chandani Sethi,99588615600,chandani21@live.com,F,1971-08-25,AADHAR-1013-4995-3209,
WIT-10028,CLM-00763,Zansi,,Dugar,Zansi Dugar,98572422685,zansi68@hotmail.com,F,1981-11-28,UID-317130898920,
WIT-10029,CLM-00763,Utkarsh,,Apte,Utkarsh Apte,97404007713,utkarsh17@rediffmail.com,M,1991-11-21,AADHAR-9052-1839-4022,
WIT-10030,CLM-00763,Onkar,,Chopra,Onkar Chopra,99419203460,onkar88@yahoo.com,M,2005-06-18,VOTER-A523977,
WIT-10031,CLM-01547,Jack,,Kadakia,Jack Kadakia,98215267080,jack67@rediffmail.com,M,1974-04-02,VOTER-C306133,MEM-11141
WIT-10032,CLM-02072,Jalsa,,Keer,Jalsa Keer,97948229334,jalsa80@yahoo.com,F,1982-10-23,AADHAR-2824-4838-4104,
WIT-10033,CLM-01044,Panini,,Palla,Panini Palla,99887521514,panini84@hotmail.com,F,1980-02-13,UID-866058768173,
WIT-10034,CLM-01016,Tristan,,Nagi,Tristan Nagi,98421411102,tristan51@outlook.co.in,M,1970-08-02,UID-374537280625,
WIT-10035,CLM-01016,Lohit,,Varkey,Lohit Varkey,99030462749,lohit82@yahoo.com,M,1968-04-23,AADHAR-1149-3050-4686,
WIT-10036,CLM-01016,Parth,,Hayer,Parth Hayer,97472556186,parth44@yahoo.com,M,1968-08-21,VOTER-E687571,
WIT-10037,CLM-02662,Balveer,,Kulkarni,Balveer Kulkarni,98010031526,balveer10@rediffmail.com,M,1971-10-08,VOTER-A211799,
WIT-10038,CLM-02662,Mekhala,,Dara,Mekhala Dara,97607499920,mekhala44@live.com,F,1959-07-19,AADHAR-4088-4273-8741,
WIT-10039,CLM-02344,Kamala,,Rau,Kamala Rau,98550964463,kamala12@yahoo.com,F,1993-11-27,UID-886100145007,
WIT-10040,CLM-02344,Manan,,Varghese,Manan Varghese,99496648102,manan78@rediffmail.com,M,1995-03-15,UID-669285754775,
WIT-10041,CLM-02344,Udyati,,Chaudry,Udyati Chaudry,99842384352,udyati42@gmail.com,F,1975-04-03,VOTER-C340927,
WIT-10042,CLM-02815,Fiyaz,,Mohan,Fiyaz Mohan,97829536077,fiyaz16@live.com,M,1960-09-03,VOTER-D939405,MEM-11320
WIT-10043,CLM-02815,Janya,,Maharaj,Janya Maharaj,97369829052,janya32@yahoo.com,F,1981-06-05,AADHAR-8576-3114-6965,
WIT-10044,CLM-02815,Qabil,,Badami,Qabil Badami,98638759868,qabil28@hotmail.com,M,1993-07-08,VOTER-C453743,
WIT-10045,CLM-02028,Jack,,Lall,Jack Lall,99782977595,jack20@rediffmail.com,M,1995-09-16,UID-407621860616,
WIT-10046,CLM-02028,Abha,,Rajan,Abha Rajan,97425051397,abha80@rediffmail.com,F,1977-11-19,VOTER-C319261,
WIT-10047,CLM-02028,Varsha,,Bahri,Varsha Bahri,97879910054,varsha26@gmail.com,F,1983-05-28,UID-278687244723,
WIT-10048,CLM-00199,Ishaan,,Ghosh,Ishaan Ghosh,97860908362,ishaan43@yahoo.com,M,1952-01-11,AADHAR-9004-5222-2237,
WIT-10049,CLM-00199,Qabil,,Solanki,Qabil Solanki,99031165069,qabil65@yahoo.com,M,1998-02-12,VOTER-C719338,MEM-13174
WIT-10050,CLM-02416,Quincy,,Parmar,Quincy Parmar,98886762554,quincy94@yahoo.com,M,1998-05-31,AADHAR-1034-4479-3492,
WIT-10051,CLM-02416,Janani,,Tara,Janani Tara,99759985634,janani60@outlook.co.in,F,1966-08-03,AADHAR-6637-7106-4221,
WIT-10052,CLM-02416,Chanakya,,Chander,Chanakya Chander,99374552927,chanakya74@outlook.co.in,M,1994-04-30,VOTER-D576632,
WIT-10053,CLM-00416,Ryan,,Shroff,Ryan Shroff,97723541502,ryan29@rediffmail.com,M,1997-08-27,AADHAR-3643-8785-1056,
WIT-10054,CLM-00416,Kevin,,Kumer,Kevin Kumer,98664108403,kevin38@live.com,M,1958-09-06,AADHAR-7452-5497-8020,
WIT-10055,CLM-00226,Maanas,,Hora,Maanas Hora,99676880997,maanas68@rediffmail.com,M,1964-02-29,UID-701445543816,
WIT-10056,CLM-00451,Kamala,,Chandran,Kamala Chandran,98425854603,kamala17@live.com,F,2000-08-05,VOTER-B489393,MEM-12882
WIT-10057,CLM-00451,Jeet,,Koshy,Jeet Koshy,97333156499,jeet15@live.com,M,1995-12-24,UID-952360783606,
WIT-10058,CLM-00655,Ikbal,,Chawla,Ikbal Chawla,98150239941,ikbal28@yahoo.com,M,1962-05-11,UID-105545563188,
WIT-10059,CLM-00655,Arin,,Dutta,Arin Dutta,97844914811,arin72@yahoo.com,M,2004-04-03,VOTER-B610932,
WIT-10060,CLM-00655,Pallavi,,Dalal,Pallavi Dalal,97982617763,pallavi85@hotmail.com,F,2001-08-30,AADHAR-9456-2069-9624,
WIT-10061,CLM-02581,Gagan,,Keer,Gagan Keer,97525291191,gagan38@outlook.co.in,M,2001-03-16,AADHAR-8541-1384-7156,
WIT-10062,CLM-01850,Jhalak,,Nanda,Jhalak Nanda,99129763475,jhalak28@outlook.co.in,F,1971-06-19,UID-541509533950,
WIT-10063,CLM-01850,Aarav,,Bir,Aarav Bir,99156837974,aarav39@rediffmail.com,M,1953-05-30,VOTER-A324637,
WIT-10064,CLM-02890,Ishita,,Sundaram,Ishita Sundaram,97741437021,ishita88@live.com,F,1995-10-30,AADHAR-9637-4342-1788,
WIT-10065,CLM-00910,Sachi,,Aurora,Sachi Aurora,99135101639,sachi16@hotmail.com,F,1988-04-09,AADHAR-8975-8743-8565,
WIT-10066,CLM-00057,Eiravati,,Narayanan,Eiravati Narayanan,97582842988,eiravati46@outlook.co.in,F,1953-02-02,VOTER-E193078,
WIT-10067,CLM-00057,Devansh,,Tailor,Devansh Tailor,99413122595,devansh48@gmail.com,M,1975-09-23,AADHAR-5448-7792-2894,
WIT-10068,CLM-00057,Panini,,Doshi,Panini Doshi,99210758130,panini67@hotmail.com,F,1963-12-10,AADHAR-1962-4046-9751,
WIT-10069,CLM-01158,Vritti,,Nair,Vritti Nair,99947713727,vritti30@hotmail.com,F,1955-05-23,UID-208592910886,
WIT-10070,CLM-01158,Megha,,Barad,Megha Barad,97043125256,megha43@live.com,F,1996-05-13,AADHAR-3544-9267-1289,
WIT-10071,CLM-01158,Mohammed,,Karpe,Mohammed Karpe,97100054370,mohammed73@live.com,M,1987-01-19,VOTER-D546448,
WIT-10072,CLM-01523,Lila,,Sen,Lila Sen,99033233674,lila24@live.com,F,1984-03-01,VOTER-C389627,
WIT-10073,CLM-01216,Chatura,,Basu,Chatura Basu,99356708131,chatura16@rediffmail.com,M,1977-10-14,AADHAR-4114-9656-8069,
WIT-10074,CLM-01216,Adweta,,Jani,Adweta Jani,97020537784,adweta57@hotmail.com,F,1987-08-23,UID-989630803099,MEM-11767
WIT-10075,CLM-02220,Pranit,,Bandi,Pranit Bandi,97985456963,pranit81@live.com,M,1983-04-09,VOTER-E217812,
WIT-10076,CLM-01937,Nirja,,Kala,Nirja Kala,99607807580,nirja44@live.com,F,1984-12-18,VOTER-C736657,
WIT-10077,CLM-01937,Abhiram,,Arya,Abhiram Arya,99357865732,abhiram14@live.com,M,1962-07-09,AADHAR-8132-6819-8703,
WIT-10078,CLM-01937,Nitara,,Narang,Nitara Narang,97683254423,nitara18@live.com,F,1999-06-12,UID-505417598681,
WIT-10079,CLM-00469,Jasmit,,Pathak,Jasmit Pathak,98712261566,jasmit81@outlook.co.in,F,1995-11-17,VOTER-E910698,
WIT-10080,CLM-01293,Abdul,,Chand,Abdul Chand,97459489972,abdul66@gmail.com,M,1966-12-23,VOTER-B140272,
WIT-10081,CLM-01293,Upadhriti,,Keer,Upadhriti Keer,99427698418,upadhriti96@hotmail.com,F,1950-06-04,VOTER-D295889,
WIT-10082,CLM-01649,Ethan,,Patel,Ethan Patel,98579436041,ethan47@rediffmail.com,M,1951-06-12,UID-510529846990,
WIT-10083,CLM-01147,Gaurika,,Bhatt,Gaurika Bhatt,97929631324,gaurika24@hotmail.com,F,1960-05-18,AADHAR-6745-6258-4705,
WIT-10084,CLM-01147,Laban,,Shere,Laban Shere,99430894754,laban35@yahoo.com,M,1965-06-02,VOTER-A440410,
WIT-10085,CLM-01147,Samesh,,Kadakia,Samesh Kadakia,98845645599,samesh18@hotmail.com,M,1984-05-24,AADHAR-7931-2742-9520,
WIT-10086,CLM-01329,Aarav,,Patla,Aarav Patla,99880400322,aarav60@hotmail.com,M,1997-12-24,UID-786943799415,
WIT-10087,CLM-01329,Tamanna,,Kalita,Tamanna Kalita,99558211615,tamanna33@live.com,F,2000-02-28,AADHAR-8294-2462-7711,
WIT-10088,CLM-02512,Lohit,,Gopal,Lohit Gopal,98487244437,lohit86@live.com,M,2003-03-09,UID-880404878646,
WIT-10089,CLM-01146,Amrita,,Kashyap,Amrita Kashyap,99172577121,amrita44@yahoo.com,F,1997-05-05,UID-751376661564,MEM-11890
WIT-10090,CLM-01146,Faqid,,Venkatesh,Faqid Venkatesh,98279958494,faqid41@outlook.co.in,M,1976-05-23,AADHAR-2008-4209-3442,
WIT-10091,CLM-01146,Gagan,,Chawla,Gagan Chawla,99284390524,gagan66@outlook.co.in,M,1998-08-28,VOTER-E977152,
WIT-10092,CLM-02473,Daniel,,Cherian,Daniel Cherian,99547614944,daniel67@hotmail.com,M,1986-03-09,UID-903205700369,
WIT-10093,CLM-02473,Gaurav,,Arora,Gaurav Arora,99413425986,gaurav29@yahoo.com,M,1993-10-28,VOTER-C344717,
WIT-10094,CLM-02473,Jyoti,,Kamdar,Jyoti Kamdar,97682509074,jyoti33@rediffmail.com,F,1965-10-20,UID-960424683421,
WIT-10095,CLM-01468,Lipika,,Sura,Lipika Sura,98125966270,lipika68@live.com,F,1972-08-15,UID-647621078141,
WIT-10096,CLM-02629,Bhanumati,,Joshi,Bhanumati Joshi,97180716706,bhanumati17@yahoo.com,F,1958-04-01,VOTER-D892617,
WIT-10097,CLM-02629,Nitesh,,Bhatnagar,Nitesh Bhatnagar,98355941269,nitesh63@gmail.com,M,1971-05-18,AADHAR-9166-5137-3241,
WIT-10098,CLM-00759,Manthan,,Borah,Manthan Borah,98064099678,manthan46@outlook.co.in,M,1973-03-01,AADHAR-4323-2502-4332,
WIT-10099,CLM-00759,Jack,,Sinha,Jack Sinha,97346531545,jack67@gmail.com,M,1992-09-03,AADHAR-8441-2329-6021,
WIT-10100,CLM-00759,Yagnesh,,Chada,Yagnesh Chada,97852797937,yagnesh73@outlook.co.in,M,2000-03-01,AADHAR-3031-5333-9320,
WIT-10101,CLM-02877,Wridesh,,Barad,Wridesh Barad,97800797277,wridesh35@yahoo.com,M,1954-09-10,UID-523261530469,
WIT-10102,CLM-02877,Aradhana,,Sani,Aradhana Sani,98226450705,aradhana12@rediffmail.com,F,1970-12-06,UID-841915959608,
WIT-10103,CLM-01109,Xiti,,Barad,Xiti Barad,97002242018,xiti28@hotmail.com,F,2004-02-04,VOTER-B512401,
WIT-10104,CLM-01109,Azad,,Gala,Azad Gala,98222813718,azad48@rediffmail.com,M,1961-12-19,AADHAR-8017-3301-8729,
WIT-10105,CLM-00397,Nandini,,Lata,Nandini Lata,97902871070,nandini29@outlook.co.in,F,2002-10-20,UID-206921869755,
WIT-10106,CLM-00397,Charles,,Vig,Charles Vig,99261094136,charles15@outlook.co.in,M,1973-03-07,VOTER-C965477,
WIT-10107,CLM-00397,Warhi,,Badami,Warhi Badami,97681746724,warhi56@outlook.co.in,F,1978-03-11,VOTER-D135201,
WIT-10108,CLM-02328,Lavanya,,Vohra,Lavanya Vohra,97825667103,lavanya37@gmail.com,F,1964-01-10,UID-119640831963,
WIT-10109,CLM-02328,Kalpit,,Madan,Kalpit Madan,99206864074,kalpit62@outlook.co.in,M,1978-05-19,VOTER-D645290,
WIT-10110,CLM-02328,Sarthak,,Singhal,Sarthak Singhal,97914870627,sarthak56@yahoo.com,M,1956-12-26,UID-330128361505,
WIT-10111,CLM-02904,Rehaan,,Sarraf,Rehaan Sarraf,97305335270,rehaan76@gmail.com,M,1980-07-15,UID-161308973790,
WIT-10112,CLM-02904,Benjamin,,Grover,Benjamin Grover,97077988893,benjamin64@live.com,M,1979-11-07,UID-643984490083,
WIT-10113,CLM-02036,Benjamin,,Shanker,Benjamin Shanker,97645476259,benjamin63@gmail.com,M,1973-04-05,AADHAR-1777-2736-6557,
WIT-10114,CLM-02036,Matthew,,Pradhan,Matthew Pradhan,97341833760,matthew30@hotmail.com,M,1979-06-08,VOTER-D874228,
WIT-10115,CLM-01189,Divya,,Varkey,Divya Varkey,97688498763,divya35@yahoo.com,F,1988-05-15,UID-247663714534,
WIT-10116,CLM-00711,Ekani,,Borah,Ekani Borah,97405399192,ekani20@rediffmail.com,F,1951-07-15,VOTER-B474546,
WIT-10117,CLM-00711,Chaaya,,Kala,Chaaya Kala,97937735433,chaaya39@live.com,F,1987-12-09,UID-418033750654,
WIT-10118,CLM-00854,David,,Mittal,David Mittal,99160156331,david71@outlook.co.in,M,2000-10-09,UID-299845223137,
WIT-10119,CLM-02316,Bhanumati,,Vig,Bhanumati Vig,99805264651,bhanumati36@outlook.co.in,F,1974-11-02,VOTER-C169874,MEM-10305
WIT-10120,CLM-02316,Lila,,Bansal,Lila Bansal,97401743775,lila21@outlook.co.in,F,1993-05-05,AADHAR-6876-4627-6525,
WIT-10121,CLM-01950,Benjamin,,Nagi,Benjamin Nagi,97228755812,benjamin95@rediffmail.com,M,1982-10-14,UID-846821949084,
WIT-10122,CLM-01950,Hemangini,,Dube,Hemangini Dube,99030048796,hemangini61@gmail.com,F,2002-09-14,UID-806137061732,
WIT-10123,CLM-02488,Nidra,,Dalal,Nidra Dalal,97757165502,nidra75@rediffmail.com,F,1982-01-21,AADHAR-3497-7489-3634,
WIT-10124,CLM-02488,Charita,,Mallick,Charita Mallick,97518362346,charita91@gmail.com,F,1988-08-18,VOTER-D127534,
WIT-10125,CLM-00838,Faraj,,Mitter,Faraj Mitter,97570198098,faraj91@rediffmail.com,M,1962-08-18,VOTER-A277953,
WIT-10126,CLM-01634,Adweta,,Naidu,Adweta Naidu,97411648704,adweta42@outlook.co.in,F,1980-02-25,AADHAR-2400-6465-7651,
WIT-10127,CLM-01634,Lekha,,Ray,Lekha Ray,99444676366,lekha77@gmail.com,F,1962-10-20,UID-329167066240,
WIT-10128,CLM-01058,Ira,,Taneja,Ira Taneja,97404685535,ira62@yahoo.com,F,1972-07-02,AADHAR-5768-3713-3750,
WIT-10129,CLM-01058,Vyanjana,,Char,Vyanjana Char,98931064830,vyanjana70@rediffmail.com,F,1967-07-22,AADHAR-9099-7328-7995,
WIT-10130,CLM-00074,Zilmil,,Contractor,Zilmil Contractor,98123218072,zilmil19@yahoo.com,F,1998-10-07,AADHAR-8006-1751-7921,
WIT-10131,CLM-00074,Falguni,,Kar,Falguni Kar,97988089158,falguni77@hotmail.com,F,1966-11-10,AADHAR-3502-3001-3921,
WIT-10132,CLM-00074,Anita,,Lal,Anita Lal,99168932762,anita21@hotmail.com,F,1980-07-14,AADHAR-6517-3910-1770,
WIT-10133,CLM-02765,Balendra,,Aggarwal,Balendra Aggarwal,99431583736,balendra38@yahoo.com,M,2003-10-13,UID-401539123629,
WIT-10134,CLM-02765,Adweta,,Yogi,Adweta Yogi,99863043769,adweta49@yahoo.com,F,1951-12-05,VOTER-B886788,
WIT-10135,CLM-02765,Zaitra,,Bhatia,Zaitra Bhatia,98184669073,zaitra17@gmail.com,F,2002-07-13,UID-395714025246,
WIT-10136,CLM-02396,Urvashi,,Shankar,Urvashi Shankar,98163979500,urvashi77@hotmail.com,F,1994-09-05,UID-901358813299,
WIT-10137,CLM-02396,Ridhi,,Kala,Ridhi Kala,97870333111,ridhi10@hotmail.com,F,2001-11-22,UID-398250754478,
WIT-10138,CLM-02396,Madhavi,,Virk,Madhavi Virk,98578802801,madhavi71@rediffmail.com,F,1990-02-16,AADHAR-7915-8209-6902,
WIT-10139,CLM-00009,Bina,,Nadig,Bina Nadig,98894453745,bina47@hotmail.com,F,1978-12-24,AADHAR-1877-9647-9290,MEM-11481
WIT-10140,CLM-00009,Udarsh,,Nigam,Udarsh Nigam,98711300128,udarsh99@outlook.co.in,M,1968-09-17,UID-686079982419,
WIT-10141,CLM-01237,Ranbir,,Kulkarni,Ranbir Kulkarni,98779010369,ranbir97@live.com,M,2006-06-06,VOTER-D859892,
WIT-10142,CLM-01237,Bhavna,,Keer,Bhavna Keer,99007462177,bhavna41@gmail.com,F,2007-08-13,VOTER-E831344,
WIT-10143,CLM-02854,Edhitha,,Raja,Edhitha Raja,97071630534,edhitha20@hotmail.com,F,2005-07-16,AADHAR-7637-8853-7392,
WIT-10144,CLM-02938,Nidra,,Loke,Nidra Loke,99108716137,nidra90@live.com,F,1999-09-01,AADHAR-8772-7769-8127,
WIT-10145,CLM-02938,Pratyush,,Sood,Pratyush Sood,97424225274,pratyush76@live.com,M,2001-08-07,VOTER-D628044,
WIT-10146,CLM-01253,Yahvi,,Bajwa,Yahvi Bajwa,98999375186,yahvi29@rediffmail.com,F,1970-05-18,VOTER-B380504,
WIT-10147,CLM-01253,Darika,,Modi,Darika Modi,99899938947,darika44@hotmail.com,F,1950-01-21,UID-930712534333,
WIT-10148,CLM-01253,Yahvi,,Aurora,Yahvi Aurora,97877251821,yahvi93@yahoo.com,F,1961-09-24,UID-446507539733,
WIT-10149,CLM-02557,Warinder,,Ranganathan,Warinder Ranganathan,99084037924,warinder45@rediffmail.com,M,1996-10-17,VOTER-D798836,
WIT-10150,CLM-00716,Jason,,Som,Jason Som,98348767220,jason91@outlook.co.in,M,1958-09-26,AADHAR-7988-1954-9463,
WIT-10151,CLM-00716,Ishita,,Pandey,Ishita Pandey,97558735388,ishita40@live.com,F,2000-09-09,VOTER-A628895,
WIT-10152,CLM-00716,Tanveer,,Walia,Tanveer Walia,98541533989,tanveer83@outlook.co.in,M,1981-08-17,AADHAR-6109-5826-6074,
WIT-10153,CLM-00903,Harini,,Narula,Harini Narula,98244710952,harini54@yahoo.com,F,1993-08-18,VOTER-B783105,
WIT-10154,CLM-00903,Qarin,,Keer,Qarin Keer,97799357430,qarin34@outlook.co.in,M,1965-11-16,AADHAR-1093-1383-2109,
WIT-10155,CLM-00903,Kabir,,Subramanian,Kabir Subramanian,98642578520,kabir32@live.com,M,1962-12-07,AADHAR-5581-7066-1220,
WIT-10156,CLM-01263,Anusha,,Deol,Anusha Deol,97657162086,anusha70@yahoo.com,F,1950-06-27,UID-442000262076,
WIT-10157,CLM-01263,Krisha,,Toor,Krisha Toor,98184659703,krisha41@live.com,F,2002-12-13,VOTER-E156009,MEM-11040
WIT-10158,CLM-01263,Yasti,,Batra,Yasti Batra,97187025491,yasti47@outlook.co.in,F,1983-04-05,UID-723845925312,
WIT-10159,CLM-00799,Jalsa,,Vala,Jalsa Vala,98011954360,jalsa44@rediffmail.com,F,1965-12-16,VOTER-A456468,
WIT-10160,CLM-00799,Umang,,Din,Umang Din,99320479356,umang88@live.com,M,1991-05-19,VOTER-C351635,
WIT-10161,CLM-02054,Ira,,Lal,Ira Lal,99972773981,ira79@gmail.com,F,1994-02-25,VOTER-E460252,
WIT-10162,CLM-02054,Anusha,,Basu,Anusha Basu,98780409085,anusha37@live.com,F,1969-11-21,AADHAR-1957-5706-8024,
WIT-10163,CLM-02054,Mitali,,Mangat,Mitali Mangat,98264347508,mitali55@gmail.com,F,1987-03-06,VOTER-C961334,
WIT-10164,CLM-02881,Fitan,,Banik,Fitan Banik,97026939893,fitan22@rediffmail.com,M,1996-06-23,VOTER-E291109,
WIT-10165,CLM-00347,Daniel,,Varkey,Daniel Varkey,99778363341,daniel46@gmail.com,M,2000-05-01,AADHAR-2205-8908-8594,
WIT-10166,CLM-00347,Wahab,,Sarin,Wahab Sarin,99706363455,wahab97@gmail.com,M,1970-02-14,AADHAR-8147-1789-1465,
WIT-10167,CLM-02206,Oscar,,Raju,Oscar Raju,98677002634,oscar72@hotmail.com,M,1955-02-23,VOTER-E358494,
WIT-10168,CLM-02573,Aarush,,Sha,Aarush Sha,97944325041,aarush51@hotmail.com,M,1991-01-01,UID-866746458178,
WIT-10169,CLM-02866,Pooja,,Ahluwalia,Pooja Ahluwalia,98242266445,pooja75@outlook.co.in,F,1960-05-30,UID-365158328366,
WIT-10170,CLM-02866,Warhi,,Nadkarni,Warhi Nadkarni,99814460386,warhi16@gmail.com,F,1988-10-25,AADHAR-2468-4795-2805,
WIT-10171,CLM-02548,Praneel,,Sunder,Praneel Sunder,99495347346,praneel54@gmail.com,M,1954-11-23,UID-519203112880,
WIT-10172,CLM-02548,Avi,,Bains,Avi Bains,98899593871,avi29@gmail.com,M,1995-03-12,AADHAR-9733-5548-3060,
WIT-10173,CLM-00782,Qasim,,Garg,Qasim Garg,98669398196,qasim76@gmail.com,M,1972-03-17,VOTER-A397581,MEM-12599
WIT-10174,CLM-00782,Vamakshi,,Raval,Vamakshi Raval,98775243793,vamakshi34@hotmail.com,F,1969-11-18,VOTER-E224362,
WIT-10175,CLM-02668,Upma,,Menon,Upma Menon,98965119581,upma38@outlook.co.in,F,1970-08-27,UID-853735319315,
WIT-10176,CLM-02668,Aachal,,Tandon,Aachal Tandon,97284438287,aachal74@rediffmail.com,F,2007-06-04,UID-139430896056,MEM-12653
WIT-10177,CLM-00533,Damini,,Chaudhuri,Damini Chaudhuri,99841825082,damini81@yahoo.com,F,1966-04-23,AADHAR-2832-2314-3833,MEM-10571
WIT-10178,CLM-00533,Raksha,,Dutt,Raksha Dutt,98873684912,raksha62@yahoo.com,F,1950-09-08,AADHAR-8467-9497-3779,
WIT-10179,CLM-00533,Xiti,,Naik,Xiti Naik,98596590326,xiti36@yahoo.com,F,1970-07-27,AADHAR-8355-6780-5996,
WIT-10180,CLM-00117,Harsh,,Pillai,Harsh Pillai,98142693956,harsh57@live.com,M,1972-05-23,AADHAR-2932-8132-8850,
WIT-10181,CLM-00117,Ijaya,,Krishnan,Ijaya Krishnan,98419241644,ijaya43@gmail.com,F,1950-05-01,UID-340808527474,
WIT-10182,CLM-00117,Chanakya,,Patel,Chanakya Patel,97978143113,chanakya76@gmail.com,M,1984-12-05,AADHAR-8779-1918-1346,
WIT-10183,CLM-01493,Elijah,,Basak,Elijah Basak,99746781555,elijah47@rediffmail.com,M,1993-04-18,AADHAR-1705-5520-7050,MEM-11745
WIT-10184,CLM-00423,Mason,,Jha,Mason Jha,98820409073,mason87@live.com,M,1976-08-12,VOTER-E505080,
WIT-10185,CLM-00673,Niharika,,Solanki,Niharika Solanki,97467771377,niharika37@yahoo.com,F,1984-09-05,VOTER-B617362,
WIT-10186,CLM-02849,Mason,,Sehgal,Mason Sehgal,98058334331,mason20@live.com,M,1957-09-28,AADHAR-4034-3994-9007,
WIT-10187,CLM-02849,Saanvi,,Sani,Saanvi Sani,97041972254,saanvi44@outlook.co.in,F,1972-11-14,AADHAR-7358-9162-5073,
WIT-10188,CLM-02849,Matthew,,Sastry,Matthew Sastry,97794014206,matthew12@rediffmail.com,M,1985-11-06,AADHAR-5965-3924-9719,
WIT-10189,CLM-02812,Ekbal,,Morar,Ekbal Morar,98502340122,ekbal96@rediffmail.com,M,1994-02-10,VOTER-C700787,
WIT-10190,CLM-02571,Vasatika,,Memon,Vasatika Memon,98253275696,vasatika21@outlook.co.in,F,1981-01-12,VOTER-B799453,
WIT-10191,CLM-02571,Matthew,,Raval,Matthew Raval,97720731351,matthew21@gmail.com,M,1980-04-10,VOTER-C345300,
