garage_id,garage_name,garage_gst_number,garage_pan_number,garage_contact_email,garage_contact_phone,garage_proprietor_name,garage_street_address,garage_city,garage_state,garage_pincode,garage_latitude,garage_longitude,garage_network_type,garage_contract_start_date,garage_oem_accreditation_flag,garage_num_bays,garage_total_sqft_area,garage_warranty_period_months,garage_repair_hour_rate_od,garage_last_audit_date,garage_audit_result_code,garage_legal_action_flag
GAR-115,Shere Garage,48VXT85335V8HU,TNCOJ4511H,shere57@gmail.com,99052171859,Pahal Iyengar,617 Roy Circle,Howrah,West Bengal,761309,21.997192,71.346369,Network,2017-04-16,0,9,2121,12,655.58,2024-11-08,A,0
GAR-116,Chakraborty Car Workshop,14IYE21556X0QF,SNDDN9915U,chakraborty90@live.com,97787927480,Guneet Date,H.No. 11 Shukla Road,Coimbatore,Tamil Nadu,602564,26.863787,70.22656,Network,2024-01-14,1,8,8137,12,333.17,2025-05-01,C,1
GAR-117,Rana Garages,62CTZ12016X9PR,BODJG6054S,rana67@outlook.co.in,97924995534,Warjas Sani,05- Naidu Zila,Pune,Maharashtra,483969,18.486543,73.941513,Network,2017-07-17,1,18,4149,3,549.5,2025-07-14,A,0
GAR-118,Ahuja Auto Works and Services,32VYH18953H2DU,MRLBT1331C,ahuja33@live.com,97599109648,Neel Mangal,H.No. 96- Trivedi Ganj,Gurgaon,Delhi,110042,28.457122,77.013475,Network,2017-08-21,1,8,9164,6,355.63,2025-05-09,A,1
GAR-119,Yadav Auto Works,25JBH31810X0AM,ZCVDD5672O,yadav73@gmail.com,98381059228,Shaurya Yogi,16- Rajagopal Chowk,Nagpur,Maharashtra,455937,22.076465,78.270633,Non-Network,2016-12-18,1,13,2188,6,566.36,2024-12-16,B,0
GAR-120,Kumar Auto Works and Services,52JAK67162X1CY,MNHQR0841R,kumar18@outlook.co.in,98612098737,Jagdish Choudhry,24 Sagar Ganj,Mumbai,Maharashtra,489143,19.058113,72.892099,Network,2017-11-14,0,7,8219,3,375.62,2025-07-17,A,0
GAR-121,Shanker Garage,13UAS97015B2QC,EHDET5753O,shanker40@hotmail.com,97132746037,Kritika Zachariah,H.No. 06- Suri Ganj,Gurgaon,Delhi,110068,28.427335,77.173106,Network,2023-03-15,0,5,8993,12,535.39,2025-07-22,A,0
GAR-122,Dey Auto Works,12NJI64711B3FS,LQJEU4184G,dey45@hotmail.com,99209684285,Omisha Varkey,14 Kakar Zila,Kolkata,West Bengal,718390,22.578348,88.338839,Network,2019-06-02,0,20,1185,3,572.68,2025-04-15,B,0
GAR-123,Raja Auto Care,78UXY46377H3EM,QHWAX0058R,raja16@outlook.co.in,97413454459,Zaitra Bhandari,45/865 Vig,Madurai,Tamil Nadu,636574,20.293998,77.097742,Network,2017-09-06,1,15,6591,12,676.48,2024-12-01,B,0
GAR-124,Sura Auto Works,95XCF34863E0MJ,ZHALB0851E,sura70@yahoo.com,97208842697,Isaiah Sandal,H.No. 15 Parekh Zila,Madurai,Tamil Nadu,662318,27.774741,71.654401,Network,2021-12-08,1,9,2892,6,773.68,2025-04-24,B,0
GAR-125,Acharya Auto Works,19VYX02190B0BP,ODRYY7610E,acharya83@hotmail.com,99528954083,Yagnesh Gala,96 Bal,Bangalore,Karnataka,565324,12.823838,77.609313,Network,2024-06-02,0,9,5274,12,775.18,2025-04-20,C,0
GAR-126,Date Car Services,89HBX25359R9TG,QVDKJ3144V,date73@outlook.co.in,97589271972,Amaira Bir,86/41- Lad Ganj,Pune,Maharashtra,466770,18.575944,73.809571,Network,2018-01-27,1,6,1985,6,691.63,2025-09-15,A,0
GAR-127,Das Auto Care,04TPD89770C5VY,YZEAT3085F,das79@hotmail.com,97764735678,Xalak Dutta,H.No. 520 Bhatt Circle,Mumbai,Maharashtra,400726,19.141096,72.994454,Network,2017-05-04,0,12,8593,6,637.01,2025-05-10,B,0
GAR-128,Lall Auto Works and Services,21DRU02039Q6ON,TUXJF8830M,lall14@gmail.com,97514321856,Matthew Agarwal,40- Kadakia Street,Noida,Delhi,110067,28.558165,77.386301,Network,2018-04-17,0,18,6400,6,358.34,2025-01-26,C,0
GAR-129,Rastogi Car Workshop,00IGE93994W5IR,JAEZO9984K,rastogi75@live.com,98628682788,Balhaar Sundaram,07/028 Johal Path,New Delhi,Delhi,110033,28.563004,77.152518,Network,2020-07-30,1,17,1344,6,652.09,2025-05-16,C,0
GAR-130,Palan Auto Works and Services,00GSJ98963X9GC,ZYUIZ0160S,palan21@hotmail.com,98907494243,Nicholas Hari,H.No. 93- Kothari Chowk,Bangalore,Karnataka,582430,12.934614,77.642141,Network,2020-05-26,0,11,1392,12,320.16,2025-09-26,C,0
GAR-131,Bera Garage,84AIV34187I7CH,HSTHQ1313U,bera97@outlook.co.in,98278101207,Advik Dara,H.No. 824 Kaur Chowk,Nagpur,Maharashtra,486101,27.662673,78.442129,Network,2024-09-11,0,6,5735,12,444.43,2025-09-26,B,0
GAR-132,Lanka Garage,21JNA19626V2DK,YFQVN8386H,lanka57@gmail.com,99141478170,Warhi Dara,71 Mohanty,Kolkata,West Bengal,734629,22.648083,88.387248,Network,2018-04-13,1,12,8318,3,407.64,2025-08-26,A,0
GAR-133,Sarkar Car Services,53TAQ96537T2OO,OPWKW9091F,sarkar56@hotmail.com,98556830037,Ethan Dani,20/47 Gopal Zila,Mumbai,Maharashtra,408316,19.021712,72.915694,Network,2017-12-09,1,19,1620,12,686.96,2025-06-03,C,0
GAR-134,Rana Car Services,22JIF97634F1LZ,KCVEK2643T,rana83@live.com,97564011466,Bhanumati Kara,78/864 Bassi Chowk,Mysore,Karnataka,568706,24.079314,77.355634,Non-Network,2019-12-10,1,20,7739,12,541.66,2025-06-02,B,0
GAR-135,Mody Car Services,37UTU41863M6IV,JIOIK4212B,mody52@yahoo.com,97297401452,Idika Chowdhury,80/31- Vohra Zila,Chennai,Tamil Nadu,678046,13.081529,80.246468,Non-Network,2021-02-13,1,3,5529,6,335.49,2025-06-21,A,0
GAR-136,Swaminathan Auto Care,59RDU80268U2SZ,RTSRF8150B,swaminathan47@rediffmail.com,97389554317,Urvi Wable,510 Sarkar Zila,Madurai,Tamil Nadu,697937,27.036094,76.591697,Network,2022-10-16,1,20,999,12,643.46,2025-07-24,C,0
GAR-137,Pingle Auto Works,92TFC56378F4XG,IFZAS7294R,pingle40@rediffmail.com,98432599075,Ekta Agarwal,11/036 Gupta,Nagpur,Maharashtra,478165,28.91327,76.45095,Non-Network,2023-02-12,1,18,6710,12,786.59,2024-11-18,A,0
GAR-138,Kannan Auto Care,24CBT23125L2VP,GKZZL7361V,kannan40@live.com,98948967465,Harrison Sehgal,08/72- Gaba Street,Noida,Delhi,110051,28.574192,77.498862,Non-Network,2018-07-25,0,15,1258,12,714.58,2024-12-16,B,0
GAR-139,Bhat Garage,82UBS46627O4OC,KBSGI5659K,bhat69@gmail.com,97684809654,Pooja Atwal,38- Barad Marg,Chennai,Tamil Nadu,656008,12.918805,80.261921,Network,2024-06-15,0,12,5465,6,509.47,2024-12-16,A,0
GAR-140,Saraf Garage,84ILB50017M2NO,JZYKC3016H,saraf17@hotmail.com,99362579955,Tara Bedi,08/454- Rama Circle,Mumbai,Maharashtra,489785,19.176267,72.941876,Network,2019-01-22,0,11,820,6,332.65,2025-02-22,A,0
GAR-141,Vig Auto Works and Services,95WJG18752Q7YG,KIRUH4232M,vig61@hotmail.com,98393229582,Zaid Menon,H.No. 63- Dhar Ganj,Nagpur,Maharashtra,441727,21.375908,73.597865,Non-Network,2016-05-29,1,20,1798,12,334.96,2025-09-03,C,1
GAR-142,Zachariah Garages,75PGI35840K7QI,YGIUT5510T,zachariah59@live.com,99542849399,Nidra Brar,H.No. 07- Natarajan Street,Nagpur,Maharashtra,481573,22.885172,74.400299,Non-Network,2017-08-25,0,12,3433,3,605.22,2024-12-22,A,0
GAR-143,Dugal Garage,26MCB56759J2NP,DIQDN3007U,dugal91@outlook.co.in,98940520831,Avni Hora,H.No. 88- Gara Circle,Mumbai,Maharashtra,461289,19.139384,72.828226,Network,2019-01-06,0,17,8942,6,753.22,2025-02-12,A,0
GAR-144,Sastry Auto Works and Services,47KGQ76478R6KW,VODWF4956W,sastry78@rediffmail.com,98812978912,Gaurangi Kunda,69 Varkey Circle,Madurai,Tamil Nadu,631358,25.975311,74.524752,Non-Network,2022-07-16,0,16,2476,3,441.79,2025-07-18,A,0
GAR-145,Madan Car Workshop,12FIP22565I2CH,BHQPN8265S,madan99@rediffmail.com,97431241400,Vaishnavi Sood,038 Biswas Marg,Noida,Delhi,110070,28.611756,77.32167,Network,2016-12-11,0,20,9876,12,736.45,2025-08-11,C,0
GAR-146,Desai Garage,45QAW91367R3GF,VKPER3348W,desai57@rediffmail.com,97923861055,Nathaniel Vasa,67/82 Kala Ganj,Gurgaon,Delhi,110036,28.570638,77.005059,Non-Network,2018-06-12,1,12,7584,12,571.91,2025-01-09,A,0
GAR-147,Bala Auto Works,21RNZ30084W1IX,QNIIH4229P,bala43@rediffmail.com,99237909071,Harini Sinha,83- Bir Path,Nagpur,Maharashtra,413880,26.194112,73.045291,Non-Network,2017-04-11,1,6,7862,12,375.93,2025-06-10,B,0
GAR-148,Memon Car Workshop,87DTO86515Q6LC,QYHBN6629K,memon80@live.com,99716709012,Amol Varughese,39/19 Kakar Marg,New Delhi,Delhi,110044,28.56332,77.100718,Network,2018-05-29,1,17,5770,6,774.12,2024-12-01,A,0
GAR-149,Jhaveri Garage,37ARP29947D5AN,AOAZA9104I,jhaveri59@yahoo.com,99828234898,Siya Dugal,H.No. 982- Rai,Madurai,Tamil Nadu,605145,28.721124,74.466353,Network,2024-09-20,0,14,1372,6,300.48,2024-12-06,A,0
GAR-150,Raja Auto Care,68RJE41808T5KB,TIWYO0716T,raja55@outlook.co.in,98776161346,Chatura Halder,H.No. 485- Sani Marg,Bangalore,Karnataka,561240,12.898517,77.53654,Non-Network,2019-08-15,0,7,3812,3,641.51,2025-04-02,B,0
GAR-151,Korpal Garages,82OPT64960I8LQ,WFUEC7018A,korpal81@live.com,99222997259,Priya Khare,04/800 Trivedi Street,Pune,Maharashtra,443563,18.536264,73.860899,Non-Network,2019-08-05,1,7,5514,12,705.35,2025-01-21,A,0
GAR-152,Jani Car Workshop,41YDC90006G3JV,SLNLC2454J,jani63@gmail.com,97242430514,Mugdha Sabharwal,94/98 Gole Marg,Pune,Maharashtra,455417,18.51187,73.98855,Non-Network,2017-01-24,0,12,6866,12,608.88,2025-06-26,A,0
GAR-153,Muni Car Services,06WSP45923A0JA,CDWEX1307X,muni15@gmail.com,98745541663,Kiaan Nanda,057- Dara Street,New Delhi,Delhi,110074,28.507132,77.137391,Non-Network,2023-08-22,1,20,9564,3,777.25,2024-12-14,B,0
GAR-154,Bhargava Car Workshop,20KQH62845S5UO,BNIWM8313F,bhargava71@yahoo.com,97887814243,Reva Chad,04- Ratti Zila,Noida,Delhi,110000,28.634459,77.457233,Non-Network,2015-12-05,1,14,2173,3,362.21,2025-01-04,C,0
GAR-155,Tata Car Workshop,26JKO68668E4FB,VRGQD7347L,tata42@outlook.co.in,99306156451,Indrajit Minhas,H.No. 120 Raj Ganj,Mumbai,Maharashtra,429692,18.963005,72.934709,Non-Network,2016-11-12,0,18,2572,12,377.62,2025-09-14,A,0
GAR-156,Kata Auto Works,95WMW78894Y4SO,SLJYF7042D,kata79@outlook.co.in,99161149745,Sara Dugar,634 Aurora Circle,Bangalore,Karnataka,564628,13.059705,77.62123,Non-Network,2022-07-17,1,17,511,3,749.0,2025-04-22,B,0
GAR-157,Ravi Car Workshop,11HTS10901O5PT,YFWOC4759W,ravi88@rediffmail.com,98274492623,Udyati Grewal,62- Contractor Street,Howrah,West Bengal,750262,24.161349,72.552231,Network,2017-05-18,0,8,3754,3,390.72,2025-09-21,A,0
GAR-158,Som Garage,34EVN05649N1IB,QEUYC5648X,som13@live.com,99888975435,Banjeet Golla,H.No. 16 Nagy Nagar,Noida,Delhi,110072,28.539013,77.48245,Network,2021-11-24,0,8,7122,6,637.19,2024-12-11,A,0
GAR-159,Subramanian Auto Works,78RVD56955I1MH,EDYAE5971S,subramanian32@hotmail.com,99031587449,Faqid Om,811 Toor Road,Bangalore,Karnataka,573678,12.96572,77.521509,Non-Network,2017-02-23,1,11,6652,12,675.42,2025-10-01,A,0
GAR-160,Tata Auto Care,68XVS68746Y3WU,QAULO1780F,tata31@outlook.co.in,97608119093,Dayita Wali,120- Dhar Chowk,Coimbatore,Tamil Nadu,674890,21.922367,75.162788,Network,2020-10-18,0,20,7802,3,629.54,2025-07-31,B,0
GAR-161,Shanker Auto Works,51WEV19367A8XM,TBJRR5243C,shanker85@outlook.co.in,98366177246,Lavanya Gera,12 Ram Street,Chennai,Tamil Nadu,630228,12.906585,80.204458,Non-Network,2015-12-12,0,18,6065,3,742.86,2025-01-22,C,0
GAR-162,Kaur Auto Works,32YJL68823Z1KH,FWIQD4877C,kaur89@gmail.com,98306446801,Chaaya Ratta,H.No. 658- Pradhan Marg,Noida,Delhi,110059,28.554354,77.473413,Network,2022-08-27,0,2,7420,12,624.75,2025-02-25,C,0
GAR-163,Raval Auto Works,28IOB11628W2II,AJXCR5938R,raval59@rediffmail.com,98800917409,Advika Mangal,H.No. 24 Sura,Mumbai,Maharashtra,442868,18.927532,72.945752,Non-Network,2024-07-14,0,18,8097,12,788.59,2025-06-27,C,1
GAR-164,Padmanabhan Garage,40NFD50863H0EZ,XJSII4775W,padmanabhan61@gmail.com,99605990598,Nisha Bhakta,32- Soman Ganj,Pune,Maharashtra,485665,18.454194,73.932898,Network,2024-05-06,0,11,8220,6,405.59,2025-01-26,A,0
GAR-165,Arora Car Workshop,25EDZ13600S3GS,KFZAR2493F,arora53@hotmail.com,97782982751,Yadavi Swaminathan,H.No. 022 Kumer Chowk,Coimbatore,Tamil Nadu,618478,28.726493,74.53801,Non-Network,2017-12-24,0,8,6145,3,475.26,2025-01-09,A,0
GAR-166,Bhandari Auto Works and Services,60ENY66995N7JQ,TZQZI3742E,bhandari41@yahoo.com,97071908441,Keya Venkataraman,94- Mitter Path,Nagpur,Maharashtra,435506,29.539336,75.201001,Non-Network,2019-02-20,1,14,3613,12,587.52,2024-12-17,B,0
GAR-167,Chawla Auto Works and Services,36JKQ47968G1JA,JHTFS6826B,chawla93@outlook.co.in,98813398055,Neha Dhawan,27/76- Garde Chowk,Mysore,Karnataka,580637,22.059431,75.928379,Network,2017-07-02,0,14,7653,12,675.35,2025-04-21,A,0
GAR-168,Jayaraman Auto Care,97ZVF80712S7YV,DPDSL9535V,jayaraman14@hotmail.com,99221298342,Yatin Saran,H.No. 98 Chaudhary Street,Kolkata,West Bengal,790178,22.509147,88.404264,Non-Network,2019-03-10,0,2,9776,3,792.48,2025-04-02,A,0
GAR-169,Edwin Garage,11NAV24488L6AB,PNCNJ8648Y,edwin76@hotmail.com,98242632286,Karan Pandey,672 Wagle,Chennai,Tamil Nadu,660712,12.982478,80.277077,Network,2022-10-28,0,2,4989,6,551.85,2025-04-04,C,1
GAR-170,Patel Garages,12IVR48945H9PP,FWFQN9044T,patel36@outlook.co.in,99446915316,Irya Pau,H.No. 504- Anne Circle,Bangalore,Karnataka,569178,13.034793,77.67749,Network,2023-07-29,0,10,4045,3,463.87,2025-02-21,B,0
GAR-171,Shere Auto Care,76JKW91317I7MX,KKRIX4636L,shere68@outlook.co.in,97678988772,Varsha Ranganathan,36/448- Kulkarni Circle,Kolkata,West Bengal,747543,22.672731,88.382459,Non-Network,2016-11-04,0,18,5458,3,574.49,2025-09-30,A,0
GAR-172,Sane Auto Works and Services,92ROM02322J9UW,NRVWR9854Y,sane20@yahoo.com,98038276830,Urvi Pathak,H.No. 223- Nanda Zila,Chennai,Tamil Nadu,697139,13.051154,80.262352,Non-Network,2016-12-12,1,13,5040,6,424.01,2024-11-19,B,0
GAR-173,Balan Garage,96EWD04532X2OY,UTVZS8204S,balan18@rediffmail.com,99486177145,Vinaya Kapur,51/862- Deol Zila,Mumbai,Maharashtra,496345,19.027522,72.804866,Network,2017-05-24,0,17,891,6,742.03,2025-07-30,B,0
GAR-174,Rau Auto Works,08YHX23668L6OB,ZHUYJ4502H,rau87@gmail.com,97421371725,Harinakshi Chakraborty,H.No. 65- Peri Zila,Coimbatore,Tamil Nadu,696990,22.814078,72.726845,Network,2021-03-17,0,2,4082,6,493.08,2025-07-16,B,0
GAR-175,Mani Car Workshop,27GUU89708X2WR,AKTYU4500G,mani74@yahoo.com,97753440623,Falan Raval,41 Sha Chowk,Howrah,West Bengal,780932,20.704026,76.059701,Network,2018-02-11,1,2,7787,6,424.23,2025-04-26,C,0
GAR-176,Trivedi Garages,62CNI60218Z1KG,YNNIJ7856Q,trivedi14@live.com,99168639199,Indrajit Deep,727 Wadhwa Marg,Bangalore,Karnataka,586787,12.972937,77.524575,Non-Network,2018-05-18,1,3,3674,6,582.47,2024-11-10,B,0
GAR-177,Kapur Car Workshop,64GNA86306Q8XE,CZVBZ1221Q,kapur25@gmail.com,98472566417,Yamini Samra,00/438- Mani Path,Noida,Delhi,110016,28.647827,77.43298,Non-Network,2016-01-02,1,14,1956,6,392.56,2025-09-02,A,0
GAR-178,Anne Garages,26HWB26558V7FR,RIGDS6306M,anne32@outlook.co.in,97357879964,Thomas Kamdar,761 Ramakrishnan Circle,Nagpur,Maharashtra,403456,29.946128,76.713694,Network,2017-11-12,1,16,9836,6,306.69,2025-07-30,C,0
GAR-179,Palla Car Services,97WRN25465X5XV,YDRQL5364H,palla58@rediffmail.com,98837979757,Jalsa Kumer,75/80 Bhandari Street,Mysore,Karnataka,561605,21.548791,77.527047,Network,2021-11-21,0,11,9960,6,327.25,2025-01-06,B,0
GAR-180,Dube Auto Works and Services,30FZJ22358S7YU,YSOAW7096N,dube17@live.com,99767332163,Veda Memon,56/17 Dara Ganj,Madurai,Tamil Nadu,657032,26.166994,79.8515,Non-Network,2023-05-19,1,14,2282,3,500.4,2025-03-25,B,0
GAR-181,Barad Garages,34MYW40200L2WC,XHCBA3687H,barad44@hotmail.com,99853494263,Chakradev Butala,H.No. 017- Thakkar,Mysore,Karnataka,569554,22.963003,78.166015,Network,2019-07-12,0,9,7153,12,631.15,2025-05-15,B,0
GAR-182,Kunda Car Workshop,19HLO40839B9AU,FUELS9310A,kunda87@rediffmail.com,99506174922,Balveer Kothari,005 Varkey Zila,Mysore,Karnataka,587548,25.155481,70.311904,Non-Network,2021-09-16,0,4,4159,12,786.91,2025-09-29,B,0
GAR-183,Thaker Auto Care,27SPN06013Z5PA,LJBXU0359G,thaker65@yahoo.com,97520740386,Neelima Sengupta,99 Sarma Marg,Mysore,Karnataka,575301,25.96028,76.712997,Network,2018-10-03,1,3,9679,3,773.8,2025-08-08,B,0
GAR-184,Bath Car Workshop,97MZE34137S5KY,HOUPC1392X,bath36@rediffmail.com,99831307262,Ikbal Sachdev,91 Khanna Nagar,Mysore,Karnataka,584521,24.613049,71.131272,Non-Network,2018-07-21,0,10,4479,6,442.61,2025-03-22,A,0
GAR-185,Tak Garages,49JCO67593Z8MB,LYOXE7049M,tak43@hotmail.com,98648743222,Jacob Sarna,32/222 Bhakta Nagar,Mumbai,Maharashtra,420476,19.164373,72.867443,Non-Network,2018-08-05,1,18,8622,12,354.66,2025-08-02,B,0
GAR-186,Madan Auto Works,72SLW49463K4FI,XCOVR9722E,madan42@gmail.com,98399754986,Abdul Varghese,63/78- Rege Nagar,Nagpur,Maharashtra,471151,29.684023,73.601166,Network,2019-11-13,0,17,1571,6,611.07,2025-08-06,A,0
GAR-187,Goyal Auto Works and Services,50LRO93602F4FI,SDJKH2310D,goyal55@live.com,97956619074,Samaksh Sathe,54 Sarkar Zila,Howrah,West Bengal,750356,22.583573,77.276095,Network,2019-05-10,1,4,5586,3,348.05,2025-07-12,B,0
GAR-188,Walia Auto Works,70FRP89285X9ZO,GIJZL7320J,walia57@yahoo.com,98292704223,Sathvik Thakkar,982- Sheth Zila,Madurai,Tamil Nadu,624539,27.254525,75.151725,Non-Network,2021-06-24,0,12,3405,6,665.11,2025-02-09,A,0
GAR-189,Venkatesh Car Workshop,65EXR49950O0MJ,ZDBKQ3678L,venkatesh93@yahoo.com,97570686274,David Roy,12/18- Sridhar Chowk,Mysore,Karnataka,564524,26.482995,70.495791,Non-Network,2022-05-23,0,17,5570,3,603.32,2025-03-23,C,1
GAR-190,Dugar Car Workshop,66LKK41135S1GC,ZJRMF2835M,dugar79@live.com,98807668777,Advaith Sheth,085- Tandon Road,Noida,Delhi,110038,28.586051,77.42846,Network,2023-10-01,0,9,3853,12,522.12,2025-02-01,B,0
GAR-191,Krishnan Auto Works,57RBQ94128A4LW,QDOCZ8096U,krishnan53@live.com,98363926969,Amruta Kota,32/14- Nayak Road,Gurgaon,Delhi,110092,28.487849,77.079436,Network,2023-02-02,1,15,1255,3,726.39,2025-07-13,A,0
GAR-192,Chauhan Car Workshop,67HYQ55673O6VN,CINUU1426I,chauhan61@hotmail.com,98373157871,Vansha Saxena,H.No. 900- Singh,Mumbai,Maharashtra,433942,18.976478,72.93151,Network,2017-04-23,1,14,5445,3,405.99,2024-12-29,B,0
GAR-193,Bhakta Auto Works,27HYY95573T2BM,DTWVU2392I,bhakta47@gmail.com,98618263391,Yashoda Baral,21/902- Soni Road,Chennai,Tamil Nadu,605013,13.00565,80.253884,Non-Network,2020-05-21,0,9,4339,12,453.5,2025-03-29,B,0
GAR-194,Lata Auto Works,93VWH10099A4FS,FAIHO4603G,lata66@yahoo.com,97014818134,Jeevika Sami,H.No. 39- Saraf Circle,Howrah,West Bengal,732695,27.958439,75.667957,Network,2023-06-04,1,14,6616,6,709.63,2025-05-08,B,0
GAR-195,De Auto Care,58EXC79734X4HO,DJNKI6386N,de63@hotmail.com,99935464499,Yashasvi Prashad,676 Panchal Nagar,Pune,Maharashtra,461502,18.551313,73.914816,Network,2017-10-06,1,17,2971,6,357.88,2025-08-02,C,0
GAR-196,Patla Garage,61GGB28531Z7LB,ZYLHE4887A,patla96@rediffmail.com,99435870170,Omya Kohli,92- Dass Street,Kolkata,West Bengal,707945,22.692713,88.386398,Network,2019-06-17,0,6,6930,6,498.11,2025-01-26,B,0
GAR-197,Wali Car Workshop,55POL97141B9OJ,WNYEW0453O,wali13@hotmail.com,98009232817,Waida Kakar,15/159- Rajagopal Chowk,Mumbai,Maharashtra,419310,19.163669,72.935025,Network,2023-07-06,0,13,2238,3,710.12,2024-12-17,C,0
GAR-198,Virk Garages,74NVN72247U8KK,DGKDT0052S,virk97@gmail.com,98894058007,Lohit Kata,H.No. 24- Buch Chowk,Mumbai,Maharashtra,441414,19.051384,72.802422,Network,2019-06-24,1,6,1786,6,771.85,2025-07-28,B,0
GAR-199,Tandon Garage,30EIL16449T3QO,DCGEO4897R,tandon61@yahoo.com,98397719267,Oviya Seshadri,18/100 Brahmbhatt Marg,Howrah,West Bengal,731213,26.894303,74.245695,Non-Network,2022-08-18,1,5,8517,3,386.49,2025-02-19,B,0
