driver_id,claim_id,driver_first_name,driver_middle_name,driver_last_name,driver_full_name,driver_mobile,driver_email,driver_gender,driver_gov_id,driver_dob,driver_license_no,relationship_to_insured,is_owner_flag,member_id
DRV-10027,CLM-00028,Divya,Dev,Memon,Divya Memon,97049494076,divya40@rediffmail.com,F,AADHAR-8784-6099-6037,1964-12-17,DL-3646118520,Daughter,0,
DRV-10028,CLM-00029,Nidhi,Ekani,Som,Nidhi Som,98705424899,nidhi53@outlook.co.in,F,VOTER-A731438,1989-03-11,DL-3379744949,Daughter,0,
DRV-10029,CLM-00030,Yachana,Aarush,Saini,Yachana Saini,98135000969,yachana44@hotmail.com,F,UID-968221445878,2006-06-06,DL-8654119967,Paid Driver,0,
DRV-10030,CLM-00031,Bimala,Dev,Dutta,Bimala Dutta,99646317863,bimala81@live.com,F,UID-812652417327,1983-04-27,DL-7719563407,Spouse,0,
DRV-10031,CLM-00032,Tara,Agastya,Palan,Tara Palan,99876217504,tara57@rediffmail.com,F,AADHAR-5225-4766-4483,1958-02-12,DL-7935831134,Friend,0,
DRV-10032,CLM-00033,Oeshi,,Chandra,Oeshi Chandra,99258659472,oeshi35@gmail.com,F,AADHAR-5943-8886-8422,1998-01-09,DL-2888049524,Self,1,MEM-11297
DRV-10033,CLM-00034,Anvi,Abhiram,Handa,Anvi Handa,99980286349,anvi51@hotmail.com,F,VOTER-B110878,1977-05-30,DL-5603645985,Self,1,MEM-13196
DRV-10034,CLM-00035,Sara,,Oza,Sara Oza,98668880993,sara84@hotmail.com,F,VOTER-D997400,2006-11-19,DL-6683876014,Self,1,MEM-12581
DRV-10035,CLM-00036,Mohammed,Lipika,Zachariah,Mohammed Zachariah,99446640149,mohammed71@live.com,M,VOTER-B134903,2004-04-19,DL-8611060318,Self,1,MEM-12528
DRV-10036,CLM-00037,Lekha,,Singh,Lekha Singh,98327207046,lekha99@gmail.com,F,VOTER-C842407,1984-12-11,DL-2239772173,Spouse,0,
DRV-10037,CLM-00038,Zayyan,Chakrika,Lalla,Zayyan Lalla,97642288768,zayyan62@live.com,M,AADHAR-5317-5720-6375,1992-11-10,DL-3746055010,Self,1,MEM-13123
DRV-10038,CLM-00039,Bhavika,,Atwal,Bhavika Atwal,97328602167,bhavika17@live.com,F,UID-885872769764,1986-03-14,DL-8089454843,Son,0,
DRV-10039,CLM-00040,Kashish,Yatin,Parmer,Kashish Parmer,98945588693,kashish19@yahoo.com,F,VOTER-E216243,1959-03-19,DL-2803324320,Relative,0,
DRV-10040,CLM-00041,Vasana,Henry,Seshadri,Vasana Seshadri,98492863445,vasana15@hotmail.com,F,AADHAR-4051-5915-1780,1979-11-14,DL-1288662967,Daughter,0,
DRV-10041,CLM-00042,Mason,,Rajagopalan,Mason Rajagopalan,99013262153,mason63@yahoo.com,M,VOTER-E657427,1983-05-03,DL-4860358201,Self,1,MEM-12062
DRV-10042,CLM-00043,Odika,Aarush,Dalal,Odika Dalal,99547099185,odika70@live.com,M,UID-488792786059,1956-10-12,DL-7192264761,Son,0,
DRV-10043,CLM-00044,Zayan,,Dutt,Zayan Dutt,99787632106,zayan51@yahoo.com,M,AADHAR-3022-7439-8910,1993-03-27,DL-5355000133,Self,1,MEM-12291
DRV-10044,CLM-00045,Nandini,,Dua,Nandini Dua,99871278866,nandini53@hotmail.com,F,UID-503549459452,2006-10-25,DL-8277302368,Daughter,0,
DRV-10045,CLM-00046,Lakshit,Charles,Bakshi,Lakshit Bakshi,99294663362,lakshit55@gmail.com,M,AADHAR-1200-3765-4283,2002-11-23,DL-6549361103,Self,1,MEM-12075
DRV-10046,CLM-00047,Gopal,,Vala,Gopal Vala,97779562285,gopal33@yahoo.com,M,AADHAR-8949-3940-2826,1961-04-24,DL-8028082334,Self,1,MEM-10875
DRV-10047,CLM-00048,Tripti,Frado,Nath,Tripti Nath,97560520242,tripti93@yahoo.com,F,UID-305570964017,1972-03-07,DL-7854473228,Paid Driver,0,
DRV-10048,CLM-00049,Madhavi,,Murthy,Madhavi Murthy,99720081077,madhavi43@rediffmail.com,M,VOTER-D349015,2001-07-14,DL-2519411860,Daughter,0,
DRV-10049,CLM-00050,William,,Prabhakar,William Prabhakar,99731786256,william57@yahoo.com,M,VOTER-D525392,1987-08-26,DL-8450486414,Self,1,MEM-10323
DRV-10050,CLM-00051,Riya,Lipika,Yadav,Riya Yadav,99112134387,riya21@hotmail.com,F,AADHAR-4917-9120-6756,1976-06-25,DL-4055397145,Friend,0,
DRV-10051,CLM-00052,Oeshi,,Wable,Oeshi Wable,97402262742,oeshi33@gmail.com,F,AADHAR-6519-2496-7001,1982-08-21,DL-6036379243,Self,1,MEM-11072
DRV-10052,CLM-00053,Lipika,Libni,Sarna,Lipika Sarna,97693158484,lipika67@gmail.com,F,AADHAR-5934-8217-7998,1976-06-20,DL-3851956887,Spouse,0,
DRV-10053,CLM-00054,Reva,Anmol,Mall,Reva Mall,99555147251,reva80@rediffmail.com,F,UID-759338029487,1960-06-05,DL-4232212610,Friend,0,
DRV-10054,CLM-00055,Bhavani,,Badami,Bhavani Badami,98380054473,bhavani31@live.com,F,UID-466738322044,1963-06-15,DL-3802224949,Self,1,MEM-10743
DRV-10055,CLM-00056,Charan,Hemang,Krishnamurthy,Charan Krishnamurthy,99685828424,charan55@rediffmail.com,M,AADHAR-7385-6942-3312,2007-08-18,DL-5712682939,Self,1,MEM-10712
DRV-10056,CLM-00057,Rayaan,Harshil,Sundaram,Rayaan Sundaram,98447527044,rayaan88@yahoo.com,M,UID-468744781248,2000-09-10,DL-9307573381,Self,1,MEM-12798
DRV-10057,CLM-00058,Wazir,Victor,Sanghvi,Wazir Sanghvi,97159192004,wazir70@hotmail.com,M,VOTER-C471088,1963-08-15,DL-8143071362,Self,1,MEM-11482
DRV-10058,CLM-00059,Divya,Brijesh,Ratti,Divya Ratti,97309585478,divya37@hotmail.com,F,VOTER-B796870,1998-05-16,DL-2861749876,Self,1,MEM-11562
DRV-10059,CLM-00060,Kala,Sathvik,Bala,Kala Bala,99025821915,kala45@hotmail.com,F,VOTER-D919105,1960-10-02,DL-2349246361,Self,1,MEM-11398
DRV-10060,CLM-00061,Brinda,,Mital,Brinda Mital,98595167029,brinda64@gmail.com,F,VOTER-D391591,1978-12-25,DL-8714596644,Paid Driver,0,
DRV-10061,CLM-00062,Udyati,Zansi,Narasimhan,Udyati Narasimhan,99736722824,udyati83@hotmail.com,M,AADHAR-6342-1986-3030,1967-12-12,DL-6159204607,Son,0,
DRV-10062,CLM-00063,Aashi,Harinakshi,Mitra,Aashi Mitra,97476353156,aashi61@yahoo.com,F,AADHAR-9117-9177-2822,1983-04-20,DL-3539287559,Son,0,
DRV-10063,CLM-00064,Charita,,Chandra,Charita Chandra,99293512898,charita23@live.com,M,AADHAR-3320-2320-7772,1971-09-12,DL-5345938056,Spouse,0,
DRV-10064,CLM-00065,Dalaja,Yasti,Wason,Dalaja Wason,97653433106,dalaja75@hotmail.com,M,VOTER-C953240,1977-01-20,DL-3606503944,Spouse,0,
DRV-10065,CLM-00066,Vidhi,Alexander,Som,Vidhi Som,99419764061,vidhi49@gmail.com,M,VOTER-A400831,1999-12-07,DL-2040310626,Paid Driver,0,
DRV-10066,CLM-00067,Ekiya,Megha,Mistry,Ekiya Mistry,97342831118,ekiya39@outlook.co.in,M,AADHAR-7484-9727-2489,1970-05-28,DL-5182593452,Son,0,
DRV-10067,CLM-00068,Oviya,,Raju,Oviya Raju,98956276346,oviya19@gmail.com,F,VOTER-A984978,1977-08-08,DL-6871861950,Self,1,MEM-10559
DRV-10068,CLM-00069,Ubika,Chandran,Ramanathan,Ubika Ramanathan,98188260558,ubika32@outlook.co.in,M,VOTER-D492709,1961-07-07,DL-4729552321,Friend,0,
DRV-10069,CLM-00070,Reva,Radhika,Suri,Reva Suri,97235087130,reva94@yahoo.com,M,VOTER-D702909,2000-08-21,DL-4356543448,Paid Driver,0,
DRV-10070,CLM-00071,Ekanta,,Sinha,Ekanta Sinha,98947720612,ekanta11@yahoo.com,M,UID-833551833851,1985-04-16,DL-5580835452,Daughter,0,
DRV-10071,CLM-00072,Gauri,Lavanya,Sidhu,Gauri Sidhu,99328680578,gauri83@gmail.com,F,AADHAR-8302-4738-6990,2002-06-09,DL-6076351885,Self,1,MEM-10970
DRV-10072,CLM-00073,Ekaja,Bakhshi,Chandran,Ekaja Chandran,99170283389,ekaja85@hotmail.com,M,AADHAR-7753-8241-2581,1956-12-06,DL-5547191660,Friend,0,
DRV-10073,CLM-00074,Yashasvi,,Rana,Yashasvi Rana,98945080995,yashasvi50@outlook.co.in,M,UID-235641234247,1963-10-12,DL-2777706306,Relative,0,
DRV-10074,CLM-00075,Falguni,,Soman,Falguni Soman,97614993751,falguni40@rediffmail.com,M,AADHAR-3935-8782-1338,1956-01-14,DL-5603885518,Paid Driver,0,
DRV-10075,CLM-00076,Manbir,Bhanumati,Parikh,Manbir Parikh,97246867553,manbir57@live.com,M,UID-886766648329,1968-10-06,DL-7301030472,Self,1,MEM-12058
DRV-10076,CLM-00077,Dalaja,Liam,Srinivas,Dalaja Srinivas,97268552055,dalaja27@yahoo.com,F,UID-433880269587,1983-05-26,DL-6187046134,Self,1,MEM-10569
DRV-10077,CLM-00078,Turvi,Henry,Atwal,Turvi Atwal,99730277537,turvi63@live.com,F,VOTER-B714233,1980-04-18,DL-9076917748,Self,1,MEM-11699
DRV-10078,CLM-00079,Banjeet,Caleb,Som,Banjeet Som,98271344102,banjeet56@gmail.com,M,UID-149295949029,1996-07-13,DL-2419483124,Self,1,MEM-10697
DRV-10079,CLM-00080,Watika,Atharv,Chaudhry,Watika Chaudhry,99486443991,watika21@gmail.com,F,UID-575728161976,1999-12-14,DL-5591481033,Son,0,
DRV-10080,CLM-00081,Eshana,Brinda,Bhatia,Eshana Bhatia,97399290631,eshana36@yahoo.com,F,UID-436148543409,2004-11-29,DL-3297890948,Son,0,
DRV-10081,CLM-00082,Nimrat,Aadi,Sandal,Nimrat Sandal,97442044189,nimrat13@hotmail.com,F,AADHAR-3098-3871-2579,1972-10-31,DL-6663144233,Self,1,MEM-13131
DRV-10082,CLM-00083,Niharika,Aarnav,Joshi,Niharika Joshi,99041145247,niharika37@rediffmail.com,M,VOTER-E828306,1972-04-16,DL-6530072286,Son,0,
DRV-10083,CLM-00084,Hemangini,,Badami,Hemangini Badami,99872841243,hemangini26@outlook.co.in,F,UID-828073447049,1986-09-28,DL-3369105170,Son,0,
DRV-10084,CLM-00085,Tripti,Jasmit,Sankaran,Tripti Sankaran,97918757920,tripti50@rediffmail.com,F,AADHAR-6904-7478-6102,1989-01-13,DL-8867948093,Self,1,MEM-10098
DRV-10085,CLM-00086,Ria,,Dave,Ria Dave,97254429808,ria70@hotmail.com,F,VOTER-E327149,1984-07-22,DL-6606880185,Daughter,0,
DRV-10086,CLM-00087,Amaira,Ishanvi,Ben,Amaira Ben,98018873684,amaira59@gmail.com,M,VOTER-D672393,1961-08-18,DL-8468242274,Son,0,
DRV-10087,CLM-00088,Zansi,,Bora,Zansi Bora,97201475722,zansi14@outlook.co.in,F,VOTER-C875871,1993-06-19,DL-6214520717,Daughter,0,
DRV-10088,CLM-00089,Mugdha,Vinaya,Sabharwal,Mugdha Sabharwal,99285836840,mugdha82@rediffmail.com,M,UID-599037698758,1968-01-22,DL-1989106745,Friend,0,
DRV-10089,CLM-00090,Vasudha,Viraj,Hayer,Vasudha Hayer,98305422034,vasudha88@rediffmail.com,M,VOTER-D474253,1964-02-15,DL-6767995851,Son,0,
DRV-10090,CLM-00091,Dhriti,Kabir,Mutti,Dhriti Mutti,98208273972,dhriti64@rediffmail.com,F,AADHAR-1236-7280-5440,1997-12-27,DL-8538042485,Relative,0,
DRV-10091,CLM-00092,Chakrika,Karan,Reddy,Chakrika Reddy,99090642469,chakrika94@gmail.com,F,VOTER-B375802,1999-07-17,DL-1886775456,Self,1,MEM-13332
DRV-10092,CLM-00093,Amruta,,Choudhary,Amruta Choudhary,98241792849,amruta21@gmail.com,F,UID-506019749365,1979-01-12,DL-4462865996,Relative,0,
DRV-10093,CLM-00094,Mohini,,Memon,Mohini Memon,97443170572,mohini33@rediffmail.com,F,VOTER-E955372,1999-10-05,DL-5409851455,Relative,0,
DRV-10094,CLM-00095,Oviya,Sudiksha,Hans,Oviya Hans,98722429295,oviya49@outlook.co.in,F,AADHAR-4315-6107-8667,1973-05-10,DL-1652679205,Son,0,
DRV-10095,CLM-00096,Netra,Jason,Nazareth,Netra Nazareth,97736839261,netra63@hotmail.com,F,VOTER-D504084,1992-04-02,DL-2922170941,Paid Driver,0,
DRV-10096,CLM-00097,Ladli,Amara,Bhatnagar,Ladli Bhatnagar,99466718104,ladli72@live.com,F,AADHAR-2904-2224-3258,1987-01-13,DL-3274175550,Son,0,
DRV-10097,CLM-00098,Nihal,,Mand,Nihal Mand,98703578291,nihal67@hotmail.com,M,VOTER-A508471,1990-01-13,DL-7444094078,Self,1,MEM-10553
DRV-10098,CLM-00099,Vritti,Naksh,Garde,Vritti Garde,97848151176,vritti98@yahoo.com,F,UID-537844059987,1978-10-17,DL-8088974897,Daughter,0,
DRV-10099,CLM-00100,Bishakha,,Bora,Bishakha Bora,98518845432,bishakha46@outlook.co.in,F,VOTER-B865162,1959-11-13,DL-6319147475,Self,1,MEM-10077
DRV-10100,CLM-00101,Michael,Aryan,Dua,Michael Dua,97473184922,michael61@gmail.com,M,VOTER-B836139,1985-10-25,DL-5931912651,Self,1,MEM-12158
DRV-10101,CLM-00102,Radhika,,Wali,Radhika Wali,98158706180,radhika55@outlook.co.in,F,VOTER-E469372,2005-01-01,DL-6636539583,Daughter,0,
DRV-10102,CLM-00103,Reva,,Kannan,Reva Kannan,99439769711,reva73@live.com,F,UID-643669209058,2004-10-13,DL-3277316346,Relative,0,
DRV-10103,CLM-00104,Meera,Ryan,Hegde,Meera Hegde,98089338718,meera28@rediffmail.com,M,AADHAR-1995-3247-5451,1992-11-17,DL-4961421199,Spouse,0,
DRV-10104,CLM-00105,Ekani,Isaiah,Divan,Ekani Divan,98355857742,ekani99@yahoo.com,F,AADHAR-5801-4774-2714,1995-06-18,DL-9636551029,Self,1,MEM-10518
DRV-10105,CLM-00106,Priya,Wazir,Chadha,Priya Chadha,97723379630,priya77@hotmail.com,F,UID-936778992014,2003-09-02,DL-4335806119,Spouse,0,
DRV-10106,CLM-00107,Varenya,Irya,Kuruvilla,Varenya Kuruvilla,97150004636,varenya28@hotmail.com,M,UID-109034028624,1996-05-20,DL-9299567717,Relative,0,
DRV-10107,CLM-00108,Gauri,Janani,Ramanathan,Gauri Ramanathan,98210670456,gauri77@hotmail.com,F,VOTER-A560517,1971-02-20,DL-6177537525,Relative,0,
DRV-10108,CLM-00109,Falak,Fitan,Karpe,Falak Karpe,98441081950,falak22@gmail.com,F,AADHAR-4414-1439-1635,1966-07-04,DL-2301801712,Relative,0,
DRV-10109,CLM-00110,Krishna,Christopher,Gole,Krishna Gole,97641045870,krishna55@live.com,F,AADHAR-5434-7230-1594,1973-03-14,DL-3402194091,Relative,0,
DRV-10110,CLM-00111,Saanvi,Lipika,Hegde,Saanvi Hegde,99671287362,saanvi11@yahoo.com,F,UID-668579321768,1958-04-06,DL-3575519047,Friend,0,
DRV-10111,CLM-00112,Unnati,Pahal,Varma,Unnati Varma,98584199225,unnati49@outlook.co.in,F,UID-113853113082,2007-05-22,DL-3744472999,Spouse,0,
DRV-10112,CLM-00113,Yashasvi,Amara,Sami,Yashasvi Sami,98356039500,yashasvi14@yahoo.com,M,AADHAR-5726-5200-1437,1994-11-17,DL-6661667585,Paid Driver,0,
DRV-10113,CLM-00114,Vaishnavi,Yadavi,Pathak,Vaishnavi Pathak,97545613097,vaishnavi98@rediffmail.com,F,VOTER-C630195,2004-09-12,DL-6717484903,Friend,0,
DRV-10114,CLM-00115,Isaac,Laksh,Dhar,Isaac Dhar,97907538317,isaac17@hotmail.com,M,UID-424831566576,1963-10-01,DL-2786726112,Self,1,MEM-12743
DRV-10115,CLM-00116,Yochana,Praneel,Pillai,Yochana Pillai,98863529664,yochana82@outlook.co.in,F,AADHAR-5564-9893-3599,2006-02-01,DL-5869796975,Self,1,MEM-10540
DRV-10116,CLM-00117,Turvi,,Kalita,Turvi Kalita,97931057891,turvi14@yahoo.com,M,VOTER-E864571,1968-12-06,DL-2691524339,Paid Driver,0,
DRV-10117,CLM-00118,Garima,Neel,Roy,Garima Roy,97395441231,garima89@yahoo.com,F,VOTER-B630621,1999-08-11,DL-9840985990,Self,1,MEM-12405
DRV-10118,CLM-00119,Simon,,Parikh,Simon Parikh,97295587931,simon96@yahoo.com,M,VOTER-E597625,1997-10-18,DL-6837065256,Self,1,MEM-12662
DRV-10119,CLM-00120,Kamala,Luke,Bakshi,Kamala Bakshi,98365854644,kamala54@gmail.com,M,VOTER-D864927,1957-04-15,DL-3534548033,Son,0,
DRV-10120,CLM-00121,Harita,Jagat,Lall,Harita Lall,97663653631,harita78@rediffmail.com,F,VOTER-E467883,1971-09-09,DL-2384234959,Spouse,0,
DRV-10121,CLM-00122,Niharika,,Memon,Niharika Memon,99560585538,niharika15@yahoo.com,F,AADHAR-7126-4469-1491,2006-08-02,DL-9093950438,Self,1,MEM-11752
DRV-10122,CLM-00123,Bhavna,,Gara,Bhavna Gara,97184504521,bhavna60@hotmail.com,F,VOTER-E831035,2001-06-28,DL-2217736770,Spouse,0,
DRV-10123,CLM-00124,Vedhika,Pushti,Vig,Vedhika Vig,99226995359,vedhika50@outlook.co.in,M,UID-327825003938,1985-02-14,DL-5071502298,Relative,0,
DRV-10124,CLM-00125,Ryan,Gayathri,Dass,Ryan Dass,97717045700,ryan22@live.com,M,VOTER-A961330,2007-01-19,DL-4621882723,Self,1,MEM-12470
DRV-10125,CLM-00126,Meghana,Aradhana,Buch,Meghana Buch,98134649329,meghana43@rediffmail.com,F,AADHAR-2768-4287-4021,1958-06-21,DL-4164131124,Daughter,0,
DRV-10126,CLM-00127,Diya,,Mannan,Diya Mannan,97190683282,diya98@yahoo.com,M,AADHAR-5986-5689-8946,1997-01-19,DL-8793356104,Relative,0,
DRV-10127,CLM-00128,Christopher,Bhavna,Singh,Christopher Singh,98407470421,christopher66@yahoo.com,M,AADHAR-5964-2929-9853,1993-12-27,DL-8487447239,Self,1,MEM-10725
DRV-10128,CLM-00129,Aadhya,Sathvik,Manda,Aadhya Manda,98672288853,aadhya51@rediffmail.com,F,AADHAR-8684-8213-6952,2003-09-23,DL-7253485837,Self,1,MEM-12305
DRV-10129,CLM-00130,Chasmum,Jalsa,Dalal,Chasmum Dalal,98103671200,chasmum77@gmail.com,M,UID-391812173501,1994-09-16,DL-3014709621,Relative,0,
DRV-10130,CLM-00131,Chanchal,Darika,Pillay,Chanchal Pillay,97828501745,chanchal77@outlook.co.in,F,VOTER-A967596,1957-12-05,DL-7065569868,Friend,0,
DRV-10131,CLM-00132,Gauri,Vaishnavi,Char,Gauri Char,98250542140,gauri36@outlook.co.in,F,AADHAR-2959-6305-8800,1990-03-29,DL-5599596743,Paid Driver,0,
DRV-10132,CLM-00133,Watika,Januja,Mammen,Watika Mammen,97070618865,watika94@live.com,F,VOTER-C186067,1963-04-10,DL-8614349105,Self,1,MEM-11437
DRV-10133,CLM-00134,Pranav,Lakshmi,Ratti,Pranav Ratti,97603923581,pranav16@hotmail.com,M,AADHAR-6691-5146-2591,2000-09-09,DL-8118245344,Self,1,MEM-12121
DRV-10134,CLM-00135,Shravya,Naveen,Chaudhry,Shravya Chaudhry,99712986086,shravya41@yahoo.com,F,AADHAR-7961-8178-6922,1966-07-03,DL-6573401371,Friend,0,
DRV-10135,CLM-00136,Oeshi,Tanay,Sem,Oeshi Sem,97231355421,oeshi29@live.com,M,UID-443025570782,1998-02-04,DL-2320140577,Spouse,0,
DRV-10136,CLM-00137,Urvashi,Hiral,Korpal,Urvashi Korpal,97200708207,urvashi57@gmail.com,F,VOTER-C955507,1992-12-25,DL-1530597610,Paid Driver,0,
DRV-10137,CLM-00138,Nidhi,,Dubey,Nidhi Dubey,99401773736,nidhi78@live.com,M,UID-825386981658,1998-05-15,DL-9449956646,Son,0,
DRV-10138,CLM-00139,Idika,Jeet,Panchal,Idika Panchal,97706980163,idika49@gmail.com,F,UID-421043218773,1966-10-08,DL-4108556537,Relative,0,
DRV-10139,CLM-00140,Madhav,,Saxena,Madhav Saxena,98998071136,madhav21@live.com,M,AADHAR-2023-3928-9231,1980-10-02,DL-9251829183,Self,1,MEM-10124
DRV-10140,CLM-00141,Niharika,,Bhatti,Niharika Bhatti,99875515886,niharika45@yahoo.com,M,AADHAR-1110-6151-3045,1959-10-05,DL-7188881473,Son,0,
DRV-10141,CLM-00142,Sanaya,Om,Yohannan,Sanaya Yohannan,99612018494,sanaya16@gmail.com,F,UID-739972624483,1964-08-13,DL-8695287163,Self,1,MEM-11031
DRV-10142,CLM-00143,Mahika,Ati,Agate,Mahika Agate,97077589532,mahika18@hotmail.com,F,AADHAR-2193-9572-1079,2001-06-21,DL-3955475592,Self,1,MEM-10142
DRV-10143,CLM-00144,Ekiya,Oni,Bansal,Ekiya Bansal,99761704735,ekiya32@live.com,M,AADHAR-1965-5070-8206,2003-06-23,DL-3539360418,Relative,0,
DRV-10144,CLM-00145,Oni,,Batra,Oni Batra,99113171533,oni56@live.com,M,AADHAR-2646-5270-7600,1988-06-20,DL-2176935716,Paid Driver,0,
DRV-10145,CLM-00146,Saanvi,Lipika,Bhat,Saanvi Bhat,98931600714,saanvi44@live.com,F,UID-914667504475,1975-07-27,DL-2848827810,Paid Driver,0,
DRV-10146,CLM-00147,Rajata,Devika,Gulati,Rajata Gulati,98058355018,rajata65@outlook.co.in,F,VOTER-E598541,2000-05-07,DL-2526105650,Self,1,MEM-10174
DRV-10147,CLM-00148,Ladli,Watika,Jain,Ladli Jain,97172764109,ladli21@live.com,M,UID-976643521556,1984-07-03,DL-7460222685,Friend,0,
DRV-10148,CLM-00149,Januja,,Sandhu,Januja Sandhu,98645776520,januja40@hotmail.com,F,AADHAR-9048-4589-4462,1962-04-21,DL-6395425418,Self,1,MEM-10329
DRV-10149,CLM-00150,Bishakha,Qadim,Ganguly,Bishakha Ganguly,97131443526,bishakha59@hotmail.com,M,UID-813059272637,2004-07-18,DL-6344238110,Spouse,0,
DRV-10150,CLM-00151,Zaitra,Yuvraj,Sarin,Zaitra Sarin,98022409932,zaitra33@live.com,F,AADHAR-3172-9133-4169,2005-09-19,DL-1144146513,Relative,0,
