member_id,mem_type,mem_first_name,mem_middle_name,mem_last_name,mem_full_name,mem_dob,mem_dod,mem_gender,mem_marital_status,mem_nationality,mem_gov_id,mem_citizenship_status,mem_occupation,mem_educational_qualification,mem_acc_no,mem_permanent_address_line1,mem_permanent_address_line2,mem_permanent_city,mem_permanent_landmark,mem_permanent_state,mem_permanent_country,mem_permanent_pin_code,mem_communication_address_line1,mem_communication_address_line2,mem_communication_city,mem_communication_landmark,mem_communication_state,mem_communication_country,mem_communication_pin_code,mem_telephone_type_1,mem_telephone_number_1,mem_telephone_type_2,mem_telephone_number_2,mem_email_1,mem_email_2,mem_update_date,RUN_TIME_DATE,CUT_OFF_DATE,POL_ACTV_CNT_YR_1,POL_ACTV_CNT_YR_2,POL_ACTV_CNT_YR_3,POL_REN_CNT_YR_1,POL_REN_CNT_YR_2,POL_REN_CNT_YR_3,POL_NB_CNT_YR_1,POL_NB_CNT_YR_2,POL_NB_CNT_YR_3,SUM_INSURED_YR_1,SUM_INSURED_YR_2,SUM_INSURED_YR_3,PREMIUM_AMT_YR_1,PREMIUM_AMT_YR_2,PREMIUM_AMT_YR_3,CLAIM_CNT_YR_1,CLAIM_CNT_YR_2,CLAIM_CNT_YR_3,CLAIM_CASHLESS_CNT_YR_1,CLAIM_CASHLESS_CNT_YR_2,CLAIM_CASHLESS_CNT_YR_3,CLAIM_REIM_CNT_YR_1,CLAIM_REIM_CNT_YR_2,CLAIM_REIM_CNT_YR_3,CLAIM_AMT_YR_1,CLAIM_AMT_YR_2,CLAIM_AMT_YR_3,APPR_AMT_YR_1,APPR_AMT_YR_2,APPR_AMT_YR_3
MEM-10010,I,Fariq,Gopal,Sinha,Fariq Sinha,1998-11-25,,M,Single,Indian,AADHAR-8688-6414-5477,Resident,Salaried,UNKNOWN,ACC_244625982064,420- Ramakrishnan,Bassi Nagar,Bettiah,,Telangana,India,903162,15- Sane Chowk,Doshi,Junagadh,Next to Bank,Jharkhand,India,398894,Mobile,99103570268,Home,98190996462.0,fariq61@rediffmail.com,,2024-12-05,2025-10-27,2025-10-27,2,0,0,2,0,0,1,0,0,852455.6,0.0,0.0,19098.66,0.0,0.0,2,0,0,1,0,0,1,0,0,53089.65000000001,0.0,0.0,50845.9,0.0,0.0
MEM-10011,I,Chavvi,,Jaggi,Chavvi Jaggi,1976-08-24,,F,Divorced,Indian,VOTER-D219669,Resident,Salaried,HSC,ACC_715950675270,291 D’Alia Marg,Kara Ganj,Bilaspur,,Gujarat,India,148024,62/583- Chakraborty Circle,Seth Circle,Siliguri,Behind Mall,Mizoram,India,500768,Mobile,98331827360,Office,98405784467.0,chavvi16@hotmail.com,,2024-12-12,2025-10-27,2025-10-27,4,1,0,4,0,0,2,0,0,3308640.4,309936.91,0.0,51067.65,11855.18,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10012,I,Ayush,,Kannan,Ayush Kannan,1979-06-28,,M,Divorced,Indian,UID-178874741992,Resident,Salaried,GRADUATE,ACC_485488157646,506- Gara Street,Saran Road,Hubli–Dharwad,Near Metro Station,Uttarakhand,India,744938,81/89 Bhasin Chowk,Kuruvilla Marg,Kurnool,Next to Bank,Tripura,India,343220,Mobile,97637843750,,,ayush99@yahoo.com,,2024-12-31,2025-10-27,2025-10-27,1,0,0,1,0,0,1,0,0,649378.23,0.0,0.0,23531.41,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10013,I,Eesha,,Yogi,Eesha Yogi,1969-10-05,,F,Married,Indian,UID-264073726710,Resident,Retired,HSC,ACC_873185570496,H.No. 50- Rastogi Marg,Parmer Zila,Nizamabad,Opposite Park,Assam,India,899242,12/43- Vala Street,Pandey Nagar,New Delhi,Next to Bank,Arunachal Pradesh,India,467108,Mobile,99882917959,Office,,eesha90@gmail.com,,2025-08-06,2025-10-27,2025-10-27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10014,I,Qarin,Madhavi,Ganesan,Qarin Ganesan,1985-08-28,,M,Married,Indian,AADHAR-1451-2479-3325,Resident,Professional,UNKNOWN,ACC_973315020923,42- Doshi Ganj,Parikh,Chandigarh,Near Metro Station,Karnataka,India,264988,H.No. 45- Raghavan Zila,Memon,Surendranagar Dudhrej,Near School,Punjab,India,781527,Mobile,97534495441,Office,99828384230.0,qarin64@rediffmail.com,sandhuharinakshi@example.com,2025-09-30,2025-10-27,2025-10-27,1,0,0,1,0,0,1,0,0,979438.56,0.0,0.0,43606.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10015,I,Henry,Patrick,Sodhi,Henry Sodhi,1979-04-02,,M,Single,Indian,VOTER-D103435,Resident,Salaried,UNKNOWN,ACC_968502678893,H.No. 237- Bhalla Street,Reddy Chowk,Nashik,Next to Temple,Goa,India,1556,H.No. 479 Mitter Chowk,Sule Marg,Morena,Next to Bank,Manipur,India,831036,Mobile,99097945448,Office,99589545818.0,henry24@rediffmail.com,,2024-11-07,2025-10-27,2025-10-27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10016,I,Onkar,Qushi,Palan,Onkar Palan,1963-12-04,,M,Divorced,Indian,UID-484474205611,Resident,Retired,UNKNOWN,ACC_923052545596,H.No. 05 Aggarwal Zila,Dhaliwal Nagar,Bhagalpur,Opposite Park,Himachal Pradesh,India,316352,69/00 Sur,Dua,Katihar,Near School,Sikkim,India,763359,Mobile,98270195457,Office,97230663230.0,onkar32@outlook.co.in,,2025-03-24,2025-10-27,2025-10-27,2,1,0,2,0,0,0,0,0,771067.71,1405240.12,0.0,4805.629999999999,36750.14,0.0,1,0,0,1,0,0,0,0,0,75706.85,0.0,0.0,64605.8,0.0,0.0
MEM-10017,I,Dayamai,,Mohanty,Dayamai Mohanty,1993-06-24,,F,Divorced,Indian,UID-414473248003,Resident,Salaried,POST_GRAD,ACC_520709955942,H.No. 14 Ramesh Road,Oak Nagar,South Dumdum,,Mizoram,India,630145,45- Anne Street,Sem Road,Darbhanga,Near School,Arunachal Pradesh,India,467323,Mobile,97612837357,Home,,dayamai39@yahoo.com,,2025-09-07,2025-10-27,2025-10-27,1,0,0,1,0,0,1,0,0,462668.28,0.0,0.0,3636.64,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10018,B,Jagdish,Ishanvi,Rattan,Jagdish Rattan,1983-06-11,,M,Single,Indian,AADHAR-1212-9859-9537,Resident,Salaried,UNKNOWN,ACC_452486749073,24/182 Dora Ganj,Goswami Street,Pondicherry,Near Metro Station,West Bengal,India,575583,H.No. 78 Palla Road,Wable Marg,Mumbai,Behind Mall,Tripura,India,708045,Mobile,98038352746,,99745840119.0,jagdish37@gmail.com,,2025-10-01,2025-10-27,2025-10-27,1,0,0,1,0,0,1,0,0,680289.98,0.0,0.0,13169.89,0.0,0.0,2,0,0,1,0,0,1,0,0,48673.79,0.0,0.0,44724.14,0.0,0.0
MEM-10019,I,Bhavika,Warda,Sankaran,Bhavika Sankaran,1999-10-22,,F,Single,Indian,UID-772823050835,Resident,Business,UNKNOWN,ACC_142471618961,22/880- Divan,Bahri Road,Mangalore,Near Metro Station,Nagaland,India,806584,H.No. 89- Kar,Doctor,Navi Mumbai,Behind Mall,Haryana,India,292540,Mobile,99006295391,Office,,bhavika16@hotmail.com,,2025-07-07,2025-10-27,2025-10-27,1,0,0,1,0,0,1,0,0,554317.64,0.0,0.0,28887.19,0.0,0.0,1,0,0,1,0,0,0,0,0,43445.27,0.0,0.0,38818.45,0.0,0.0
MEM-10020,I,Oni,Abha,Kapoor,Oni Kapoor,1994-11-15,,F,Married,Indian,UID-848084942932,Foreigner,Salaried,GRADUATE,ACC_290163870584,617- Kata Road,Ratti Marg,Madhyamgram,,Nagaland,India,99522,21/06 Chaudhary Chowk,Gulati Street,Machilipatnam,Next to Bank,Odisha,India,702149,Mobile,99557825229,Home,97105120898.0,oni73@outlook.co.in,,2025-05-28,2025-10-27,2025-10-27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10021,I,Naksh,Nitesh,Sheth,Naksh Sheth,1989-01-29,,M,Single,Indian,UID-804638001724,Resident,Professional,HSC,ACC_527411590362,H.No. 59- Hora Zila,Rout Street,Akola,Near Metro Station,West Bengal,India,765714,74 Banerjee Marg,Dey Chowk,Anand,Next to Bank,Goa,India,299621,Mobile,99481616453,Office,99157650015.0,naksh23@gmail.com,yashodharasekhon@example.com,2025-04-07,2025-10-27,2025-10-27,1,0,0,1,0,0,1,0,0,597112.07,0.0,0.0,18802.8,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10022,I,Radhika,Wishi,Krish,Radhika Krish,1975-09-04,,F,Single,Indian,VOTER-D822924,Resident,Retired,GRADUATE,ACC_061059549715,00/74 Narain Path,Vora Ganj,Rampur,Opposite Park,Haryana,India,26571,953 Kala Marg,Walla Street,Jamnagar,Behind Mall,Himachal Pradesh,India,227697,Mobile,99459754196,,,radhika26@live.com,,2025-01-25,2025-10-27,2025-10-27,2,0,0,2,0,0,0,0,0,514973.88,0.0,0.0,14245.69,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10023,I,Idika,,Wadhwa,Idika Wadhwa,1982-06-11,,F,Married,Indian,AADHAR-4012-3940-6799,Resident,Salaried,HSC,ACC_288818283843,50/82- Chakraborty Ganj,Kota Marg,Danapur,,Odisha,India,234068,361- Chandra Ganj,Bedi Path,Bhalswa Jahangir Pur,Behind Mall,Nagaland,India,481318,Mobile,99096453784,Office,,idika13@hotmail.com,,2025-07-17,2025-10-27,2025-10-27,1,0,0,1,0,0,0,0,0,368532.99,0.0,0.0,11635.69,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10024,I,Yashasvi,Wriddhish,Kibe,Yashasvi Kibe,1988-11-17,,F,Unknown,Indian,VOTER-C394809,Resident,Salaried,POST_GRAD,ACC_870886670226,H.No. 03- Muni Chowk,Chad Circle,Guntakal,,Maharashtra,India,956982,38- Bir Chowk,Tandon Road,Satara,Behind Mall,Rajasthan,India,567226,Mobile,99250787976,Office,97818954634.0,yashasvi37@hotmail.com,,2025-07-03,2025-10-27,2025-10-27,1,0,0,1,0,0,1,0,0,759288.91,0.0,0.0,17739.52,0.0,0.0,2,0,0,2,0,0,0,0,0,131988.87,0.0,0.0,133084.37,0.0,0.0
MEM-10025,I,Janya,,Gour,Janya Gour,1999-03-07,,F,Unknown,Indian,VOTER-B911729,Foreigner,Professional,UNKNOWN,ACC_163449749083,16/79- Saxena Marg,Deshmukh Marg,Delhi,,Nagaland,India,5459,H.No. 113- Chaudhry Chowk,Chaudhary Circle,Raebareli,Next to Bank,Telangana,India,511594,Mobile,97876936902,Office,,janya87@live.com,,2025-02-12,2025-10-27,2025-10-27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10026,I,Devika,Kala,Sengupta,Devika Sengupta,1982-05-28,,F,Unknown,Indian,UID-173232651488,Foreigner,Business,POST_GRAD,ACC_223923706983,14- Nayar Path,Jhaveri Path,Noida,Near Metro Station,Meghalaya,India,243342,420 Panchal Marg,Reddy,Haldia,Near School,Gujarat,India,79732,Mobile,97161536960,Office,99415401008.0,devika28@hotmail.com,,2025-09-30,2025-10-27,2025-10-27,3,1,0,3,0,0,1,0,0,1687184.4500000002,550622.35,0.0,17182.37,6797.87,0.0,1,0,0,1,0,0,0,0,0,6545.62,0.0,0.0,5349.84,0.0,0.0
MEM-10027,I,Vasana,,Vig,Vasana Vig,1991-08-12,2023-06-14,F,Unknown,Indian,AADHAR-9519-6757-7525,Resident,Salaried,SSC,ACC_002568436516,47 Deshmukh Zila,Pathak Road,Mahbubnagar,Opposite Park,Assam,India,698779,51 Doctor Nagar,Bava Marg,Bahraich,Behind Mall,Haryana,India,476352,Mobile,98037216963,,,vasana61@yahoo.com,,2025-01-27,2025-10-27,2025-10-27,1,1,0,1,0,0,1,0,0,665742.46,391897.67,0.0,21613.4,10820.37,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10028,I,Isaac,Ranveer,Thaman,Isaac Thaman,1978-01-19,2023-05-24,M,Married,Indian,AADHAR-5133-9565-3851,Resident,Salaried,UNKNOWN,ACC_540868882680,56/865 Chaudry Chowk,Morar Circle,Bettiah,Near Metro Station,Nagaland,India,441819,87- Srinivasan Road,Pradhan Path,Hosur,Near School,Goa,India,15852,Mobile,98803800529,Home,,isaac63@yahoo.com,,2025-08-10,2025-10-27,2025-10-27,2,0,0,2,0,0,1,0,0,481135.8,0.0,0.0,26479.96,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10029,I,Krishna,Samarth,Zacharia,Krishna Zacharia,1979-09-18,,M,Single,Indian,UID-613740969042,Resident,Business,HSC,ACC_108508806743,78/50 Doctor Zila,Sheth Nagar,Ulhasnagar,Opposite Park,Arunachal Pradesh,India,250799,98/49- Sha Ganj,Khalsa Street,Mahbubnagar,Behind Mall,Bihar,India,379477,Mobile,97437926208,Office,99627549084.0,krishna77@rediffmail.com,,2025-03-12,2025-10-27,2025-10-27,0,1,0,0,0,0,0,0,0,0.0,450024.31,0.0,0.0,14532.99,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10030,I,Gauri,Manan,Lal,Gauri Lal,1960-04-13,,F,Divorced,Indian,UID-414332722422,Resident,Retired,POST_GRAD,ACC_985929244507,90/85 Bhavsar Street,Sridhar Circle,Anantapuram,Next to Temple,Goa,India,621625,55/194 Batra Ganj,Kothari Ganj,Tiruppur,Near School,Odisha,India,639875,Mobile,99429636941,Office,,gauri29@yahoo.com,,2024-11-19,2025-10-27,2025-10-27,1,0,0,1,0,0,0,0,0,999503.69,0.0,0.0,17916.93,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10031,I,Harrison,Jasmit,Palla,Harrison Palla,1994-01-27,,M,Married,Indian,VOTER-B952207,Resident,Salaried,HSC,ACC_365305631577,H.No. 525 Saha,Mammen Ganj,Kanpur,Next to Temple,Haryana,India,717232,36 Sura Zila,Patel Marg,Phagwara,Behind Mall,Bihar,India,595258,Mobile,97235284716,Home,97605767687.0,harrison90@rediffmail.com,,2025-07-05,2025-10-27,2025-10-27,2,0,0,2,0,0,0,0,0,1525167.81,0.0,0.0,16970.23,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10032,I,Zaid,,Sagar,Zaid Sagar,2007-02-07,,M,Unknown,Indian,AADHAR-6199-4561-2999,Resident,Professional,UNKNOWN,ACC_413173193898,87/283 Bumb Ganj,Raval Marg,Rajpur Sonarpur,Next to Temple,Madhya Pradesh,India,709855,545 Morar Marg,Radhakrishnan Path,Madurai,Behind Mall,Goa,India,811962,Mobile,97880385195,Office,97373213664.0,zaid36@live.com,,2024-12-14,2025-10-27,2025-10-27,2,1,0,2,0,0,1,1,0,1737224.63,544324.64,0.0,65524.5,14428.88,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10033,I,Eta,Jhalak,Banik,Eta Banik,2003-05-16,,F,Single,Indian,AADHAR-2914-8281-8690,Resident,Salaried,UNKNOWN,ACC_857186544915,H.No. 193 Reddy Ganj,Amble Street,Bongaigaon,Opposite Park,Nagaland,India,293834,37/27 Chander Nagar,Rajagopalan Zila,Chittoor,,Andhra Pradesh,India,711347,Mobile,99411144300,Office,99561246342.0,eta76@live.com,,2025-04-01,2025-10-27,2025-10-27,0,2,0,0,0,0,0,1,0,0.0,1295234.72,0.0,0.0,50250.91,0.0,0,3,0,0,1,0,0,2,0,0.0,97696.56,0.0,0.0,85668.24,0.0
MEM-10034,I,Sarthak,Balhaar,Dubey,Sarthak Dubey,1989-09-22,,M,Married,Indian,VOTER-C148902,Foreigner,Salaried,POST_GRAD,ACC_594740201975,575- Sule Circle,Palan Road,Hindupur,Next to Temple,Mizoram,India,559524,17/31- Pai,Dayal,Katni,Near School,Telangana,India,652196,Mobile,99246101985,,,sarthak18@live.com,,2025-09-13,2025-10-27,2025-10-27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10035,I,Hredhaan,Lakshit,Naidu,Hredhaan Naidu,2000-12-13,,M,Married,Indian,UID-173723262074,Resident,Salaried,POST_GRAD,ACC_841540225788,H.No. 33 Agrawal Road,Viswanathan Circle,Imphal,Opposite Park,Kerala,India,73292,981 Bhat Street,Patel Path,Phusro,Next to Bank,Uttar Pradesh,India,492010,Mobile,97823855849,Office,,hredhaan52@live.com,,2025-07-30,2025-10-27,2025-10-27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10036,I,Chandresh,,Bhattacharyya,Chandresh Bhattacharyya,2000-10-23,2025-01-18,M,Divorced,Indian,UID-164254354726,Resident,Professional,POST_GRAD,ACC_404171637615,H.No. 28 Aggarwal Path,Mukherjee Zila,Bhubaneswar,Opposite Park,Meghalaya,India,640131,00/038 Ahuja Chowk,Mangal Street,Bihar Sharif,Next to Bank,Himachal Pradesh,India,629111,Mobile,97485697608,Office,,chandresh53@outlook.co.in,qarin64@example.net,2025-05-26,2025-10-27,2025-10-27,0,1,0,0,0,0,0,1,0,0.0,642839.64,0.0,0.0,4467.33,0.0,0,3,0,0,1,0,0,2,0,0.0,724711.01,0.0,0.0,132353.81,0.0
MEM-10037,I,Mahika,Ekavir,Master,Mahika Master,1964-11-05,,F,Unknown,Indian,VOTER-A805917,Resident,Retired,HSC,ACC_867652246596,64/89 Palan Circle,Prashad Ganj,Siwan,Near Metro Station,Arunachal Pradesh,India,772980,85/95 Mukhopadhyay Path,Lanka Nagar,Vadodara,Near School,Kerala,India,281649,Mobile,99146434565,Office,99795142739.0,mahika47@rediffmail.com,,2025-04-15,2025-10-27,2025-10-27,0,1,0,0,0,0,0,0,0,0.0,538459.99,0.0,0.0,6011.91,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MEM-10038,I,Yutika,Vamakshi,Narula,Yutika Narula,1960-12-17,,F,Single,Indian,UID-233117917441,Resident,Retired,GRADUATE,ACC_564861546149,H.No. 812- Venkatesh Nagar,Wadhwa Road,Srikakulam,Near Metro Station,Arunachal Pradesh,India,114567,571 Lata Path,Nagar,Dindigul,Near School,Rajasthan,India,801364,Mobile,99170617909,Office,98078658808.0,yutika38@yahoo.com,,2025-06-27,2025-10-27,2025-10-27,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
